Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	18	17.142857142857142	7.456703346472452E-11	CYP2J2, ERO1A, POU2F1, CXCL8, BAD, STAT3, APOA1, VLDLR, SOD2, NFKBIA, DDIT3, TNFSF10, BCL2, MAPK1, CD36, APOB, TP53, MYD88	93	215	8662	7.79774943735934	1.7970651522425385E-8	9.060266805569257E-9	5.7519536151539266E-9
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	15	14.285714285714285	7.518893614580296E-11	CDKN2B, TGFB1, CDKN1B, IRS1, INSR, STAT3, PTEN, SOD2, SIRT1, EGFR, TGFBR1, INS, CCND1, TNFSF10, MAPK1	93	131	8662	10.664860871706475	1.8120540734578583E-8	9.060266805569257E-9	5.7519536151539266E-9
KEGG_PATHWAY	hsa05215:Prostate cancer	13	12.380952380952381	3.370597447348936E-10	RB1, CDKN1B, BAD, PTEN, EGFR, INS, NFKBIA, AR, CCND1, BCL2, MAPK1, CTNNB1, TP53	93	97	8662	12.482651590732734	8.123138761639837E-8	2.7077132827036452E-8	1.7190046981479574E-8
KEGG_PATHWAY	hsa04931:Insulin resistance	12	11.428571428571429	1.5646841424892128E-8	NFKBIA, IRS1, INSR, PRKCE, STAT3, PTEN, SLC2A2, CD36, PPARA, PPARGC1A, PPARGC1B, INS	93	108	8662	10.348864994026284	3.770881691789185E-6	9.427221958497507E-7	5.984916845021239E-7
KEGG_PATHWAY	hsa05212:Pancreatic cancer	10	9.523809523809524	9.187837285075776E-8	RB1, TGFB1, CCND1, CDKN2A, BAD, STAT3, MAPK1, TP53, EGFR, TGFBR1	93	76	8662	12.255234861346917	2.2142443714234794E-5	3.690447976172103E-6	2.342898507694323E-6
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	10	9.523809523809524	9.187837285075776E-8	RB1, NFKBIA, TGFB1, CDKN1B, CCND1, CDKN2A, BAD, MAPK1, TP53, TGFBR1	93	76	8662	12.255234861346917	2.2142443714234794E-5	3.690447976172103E-6	2.342898507694323E-6
KEGG_PATHWAY	hsa05226:Gastric cancer	12	11.428571428571429	4.38613862450178E-7	RB1, CDKN2B, TGFB1, CDKN1B, CCND1, TERT, BCL2, MAPK1, CTNNB1, TP53, EGFR, TGFBR1	93	149	8662	7.5011907339250925	1.0570037735446736E-4	1.5100848692927558E-5	9.586845850696748E-6
KEGG_PATHWAY	hsa05200:Pathways in cancer	21	20.0	5.175164001497155E-7	RB1, CDKN2B, TGFB1, CDKN1B, CXCL8, CDKN2A, BAD, STAT3, PTEN, FN1, EGFR, TGFBR1, NFKBIA, AR, TERT, CCND1, SP1, BCL2, MAPK1, CTNNB1, TP53	93	531	8662	3.6834943199076604	1.247137073145943E-4	1.559018155451018E-5	9.89750115286331E-6
KEGG_PATHWAY	hsa04218:Cellular senescence	12	11.428571428571429	6.959744755828325E-7	RB1, CDKN2B, TGFB1, CXCL8, CCND1, CDKN2A, PTEN, MAPK1, VDAC1, SIRT1, TP53, TGFBR1	93	156	8662	7.164598842018197	1.677158411146351E-4	1.8370618898112645E-5	1.1662675068096408E-5
KEGG_PATHWAY	hsa05160:Hepatitis C	12	11.428571428571429	7.905866713322256E-7	RB1, NFKBIA, YWHAE, CCND1, BAD, STAT3, MAPK1, CTNNB1, CFLAR, PPARA, TP53, EGFR	93	158	8662	7.073907717435689	1.9051331314490216E-4	1.8370618898112645E-5	1.1662675068096408E-5
KEGG_PATHWAY	hsa01522:Endocrine resistance	10	9.523809523809524	8.384929787520295E-7	RB1, CDKN1B, CCND1, CDKN2A, SP1, BAD, BCL2, MAPK1, TP53, EGFR	93	98	8662	9.504059688391486	2.020564764306787E-4	1.8370618898112645E-5	1.1662675068096408E-5
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	10	9.523809523809524	9.961226326711318E-7	TGFB1, CDKN1B, CXCL8, CCND1, PRKCE, STAT3, BCL2, FN1, MAPK1, TGFBR1	93	100	8662	9.313978494623656	2.400368605930403E-4	1.8806275598624172E-5	1.1939253803275926E-5
KEGG_PATHWAY	hsa05161:Hepatitis B	12	11.428571428571429	1.0144464015855361E-6	RB1, NFKBIA, TGFB1, PCNA, CXCL8, BAD, STAT3, BCL2, MAPK1, TP53, TGFBR1, MYD88	93	162	8662	6.899243329350856	2.444518235628079E-4	1.8806275598624172E-5	1.1939253803275926E-5
KEGG_PATHWAY	hsa05415:Diabetic cardiomyopathy	13	12.380952380952381	1.3896252715928412E-6	TGFB1, ACE, IRS1, INSR, PTEN, TGFBR1, INS, SP1, PDK4, VDAC1, CD36, PPARA, PDK2	93	203	8662	5.964616769956035	3.3484385043625053E-4	2.3377367072877472E-5	1.4841233037967855E-5
