Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa03320:PPAR signaling pathway	10	8.849557522123893	1.4199088584017444E-7	FABP1, FABP3, SCD, APOA2, AQP7, NR1H3, DBI, ANGPTL4, CPT1B, SLC27A4	99	75	8662	11.665993265993267	3.54970939401289E-5	3.549772146004361E-5	2.8824149825555412E-5
KEGG_PATHWAY	hsa05200:Pathways in cancer	21	18.58407079646018	1.500196786219402E-6	STAT5A, CEBPA, CDKN1A, JAG1, GADD45A, PTGER2, NOTCH4, MMP2, SLC2A1, FOS, AGT, VEGFA, CCNA2, CCNE1, CDH1, MYC, GSTA2, AGTR1, FAS, HMOX1, BCL2L1	99	531	8662	3.460252239913257	3.7497915562079154E-4	1.4202472657482364E-4	1.1532407797875682E-4
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	10	8.849557522123893	1.7042967188978838E-6	STAT5A, EGR1, COL3A1, MMP2, AGTR1, AGER, PRKCZ, F3, AGT, VEGFA	99	100	8662	8.74949494949495	4.2598378592673125E-4	1.4202472657482364E-4	1.1532407797875682E-4
KEGG_PATHWAY	hsa04979:Cholesterol metabolism	7	6.1946902654867255	2.1462085014232506E-5	ABCA1, SCARB1, APOA2, PCSK9, ANGPTL4, APOE, LDLR	99	51	8662	12.009110714993067	0.005351209824740688	0.0013413803133895316	0.0010892008144722997
KEGG_PATHWAY	hsa04975:Fat digestion and absorption	6	5.3097345132743365	1.1455869704002985E-4	ABCA1, FABP1, SCARB1, DGAT1, ACAT1, SLC27A4	99	43	8662	12.20859760394644	0.028235040374108733	0.005727934852001492	0.004651083099825212
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	9	7.964601769911504	1.6780270989106695E-4	DUSP1, CTSL, MMP2, GSTA2, HMOX1, CYBA, FOS, PRKCZ, VEGFA	99	139	8662	5.665140614780903	0.0410862998703152	0.006561803020961225	0.005328184053020515
KEGG_PATHWAY	hsa05166:Human T-cell leukemia virus 1 infection	11	9.734513274336283	1.948280745841679E-4	STAT5A, CCNA2, EGR1, CDKN1A, CCNE1, MYC, SLC2A1, FOS, CALR, BCL2L1, HLA-E	99	222	8662	4.335335335335335	0.047544377873264265	0.006561803020961225	0.005328184053020515
KEGG_PATHWAY	hsa04931:Insulin resistance	8	7.079646017699115	2.099776966707592E-4	SREBF1, SLC2A1, NR1H3, PTPN11, PRKCZ, CPT1B, AGT, SLC27A4	99	108	8662	6.481107369996259	0.05114561847224042	0.006561803020961225	0.005328184053020515
KEGG_PATHWAY	hsa04148:Efferocytosis	9	7.964601769911504	3.692003229776127E-4	ABCA1, PTGER2, SLC2A1, ATP2A2, NR1H3, PTPN11, CALR, AGER, CPT1B	99	156	8662	5.047785547785548	0.08818405461797929	0.010255564527155907	0.008327518396050598
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	10	8.849557522123893	4.4706313239619696E-4	CCNA2, CDKN1A, SYK, CCNE1, GADD45A, MYC, FAS, CALR, NFKBIB, HLA-E	99	202	8662	4.331433143314332	0.10576866538271246	0.010370904551387904	0.008421174495726979
KEGG_PATHWAY	hsa05415:Diabetic cardiomyopathy	10	8.849557522123893	4.634791148710163E-4	COL3A1, MMP2, SLC2A1, AGTR1, ATP2A2, CYBA, AGER, PRKCZ, CPT1B, AGT	99	203	8662	4.310096034233966	0.10943273120539898	0.010370904551387904	0.008421174495726979
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	10	8.849557522123893	4.978034184666194E-4	CDKN1A, CTSL, MYC, MMP2, FAS, TIMP3, PTPN11, HPSE, SLC9A1, VEGFA	99	205	8662	4.268046316826805	0.1170457051511411	0.010370904551387904	0.008421174495726979
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	10	8.849557522123893	7.023351499367822E-4	ABCA1, CYP1A1, FAS, CYBA, FOS, AGER, LDLR, ABCG1, BCL2L1, HSPA1A	99	215	8662	4.069532534648814	0.16108465350348766	0.013506445191091964	0.010967233495166675
KEGG_PATHWAY	hsa05219:Bladder cancer	5	4.424778761061947	0.0011319595848077726	CDKN1A, CDH1, MYC, MMP2, VEGFA	99	41	8662	10.670115792067012	0.24659337005926252	0.018872167915492236	0.015324200347379694
KEGG_PATHWAY	hsa05230:Central carbon metabolism in cancer	6	5.3097345132743365	0.0011323300749295341	PKM, MYC, SLC2A1, GCK, PFKP, SIRT3	99	70	8662	7.4995670995671	0.24666322834220444	0.018872167915492236	0.015324200347379694
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	6	5.3097345132743365	0.0016387496304563786	STAT5A, CDKN1A, GADD45A, MYC, PTPN11, BCL2L1	99	76	8662	6.907496012759172	0.33636532047407863	0.025605462975880917	0.020791635936415302
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	7	6.1946902654867255	0.002427020961180909	CCNA2, SREBF1, LIPE, SCD, ADIPOR2, CPT1B, PFKP	99	121	8662	5.061691293096252	0.4552850984756689	0.03569148472324866	0.028981485595277915
KEGG_PATHWAY	hsa05162:Measles	7	6.1946902654867255	0.004654559910110167	STAT5A, CCNE1, FAS, FOS, BCL2L1, HSPA1A, NFKBIB	99	138	8662	4.438149612062656	0.6885001824158566	0.06464666541819676	0.052493092319575774
KEGG_PATHWAY	hsa05224:Breast cancer	7	6.1946902654867255	0.0063138587957265345	CDKN1A, JAG1, GADD45A, MYC, NOTCH4, BRCA1, FOS	99	147	8662	4.166426166426167	0.7947381659269559	0.0830770894174544	0.06745859660697297
KEGG_PATHWAY	hsa04920:Adipocytokine signaling pathway	5	4.424778761061947	0.0079880407943426	SLC2A1, PTPN11, ADIPOR2, CPT1B, NFKBIB	99	70	8662	6.24963924963925	0.8653436134047849	0.09755903400040425	0.07921793560832825
KEGG_PATHWAY	hsa05216:Thyroid cancer	4	3.5398230088495577	0.008259259639095094	CDKN1A, CDH1, GADD45A, MYC	99	37	8662	9.45891345891346	0.8742411474501972	0.09755903400040425	0.07921793560832825
KEGG_PATHWAY	hsa01524:Platinum drug resistance	5	4.424778761061947	0.00924236790746209	CDKN1A, GSTA2, FAS, BRCA1, BCL2L1	99	73	8662	5.992804759928048	0.9018576102489057	0.09755903400040425	0.07921793560832825
KEGG_PATHWAY	hsa01200:Carbon metabolism	6	5.3097345132743365	0.009643549349949838	PRPS1, PKM, GOT1, GCK, PFKP, ACAT1	99	115	8662	4.564953886693018	0.9113081586063011	0.09755903400040425	0.07921793560832825
KEGG_PATHWAY	hsa04115:p53 signaling pathway	5	4.424778761061947	0.00968739024695502	CDKN1A, CCNE1, GADD45A, FAS, BCL2L1	99	74	8662	5.911820911820912	0.9122843167812763	0.09755903400040425	0.07921793560832825
KEGG_PATHWAY	hsa05161:Hepatitis B	7	6.1946902654867255	0.009980785677024779	STAT5A, CCNA2, CDKN1A, CCNE1, MYC, FAS, FOS	99	162	8662	3.780645965831151	0.9185472277829352	0.09755903400040425	0.07921793560832825
KEGG_PATHWAY	hsa01230:Biosynthesis of amino acids	5	4.424778761061947	0.010146139536042043	PRPS1, PKM, MAT2A, GOT1, PFKP	99	75	8662	5.832996632996633	0.921878549900589	0.09755903400040425	0.07921793560832825
KEGG_PATHWAY	hsa04919:Thyroid hormone signaling pathway	6	5.3097345132743365	0.01184888242265917	MYC, NOTCH4, SLC2A1, ATP2A2, PFKP, SLC9A1	99	121	8662	4.338592536939645	0.9492025935188412	0.1097118742838812	0.08908604191851154
KEGG_PATHWAY	hsa05165:Human papillomavirus infection	10	8.849557522123893	0.012376877384000244	CCNA2, CDKN1A, PKM, JAG1, CCNE1, NOTCH4, FAS, PRKCZ, HLA-E, VEGFA	99	331	8662	2.6433519484879002	0.9555560845739451	0.11050783378571648	0.08973236103400177
KEGG_PATHWAY	hsa05208:Chemical carcinogenesis - reactive oxygen species	8	7.079646017699115	0.013029499582109761	GSTA2, CYP1A1, HMOX1, PTPN11, CYBA, FOS, SOD1, VEGFA	99	223	8662	3.138832268877112	0.962325885212768	0.11232327225956693	0.09120649707476833
KEGG_PATHWAY	hsa04930:Type II diabetes mellitus	4	3.5398230088495577	0.015000085155976036	PKM, PDX1, PRKCZ, GCK	99	46	8662	7.608256477821696	0.977141473167274	0.12500070963313364	0.10150057622210451
KEGG_PATHWAY	hsa04976:Bile secretion	5	4.424778761061947	0.01809058537020804	SCARB1, SLC9A3, SLC2A1, LDLR, SLC9A1	99	89	8662	4.915446600839859	0.9895802805715448	0.14589181750167773	0.11846415581136234
KEGG_PATHWAY	hsa05222:Small cell lung cancer	5	4.424778761061947	0.020181766033162372	CDKN1A, CCNE1, GADD45A, MYC, BCL2L1	99	92	8662	4.755160298638559	0.9938852415758039	0.15048325550910777	0.12219240347339551
KEGG_PATHWAY	hsa04658:Th1 and Th2 cell differentiation	5	4.424778761061947	0.020181766033162372	STAT5A, JAG1, MAF, FOS, NFKBIB	99	92	8662	4.755160298638559	0.9938852415758039	0.15048325550910777	0.12219240347339551
KEGG_PATHWAY	hsa04371:Apelin signaling pathway	6	5.3097345132743365	0.020465722749238656	EGR1, LIPE, JAG1, CDH1, AGTR1, SLC9A1	99	139	8662	3.776760409853935	0.9943126558213169	0.15048325550910777	0.12219240347339551
