Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	102	13.877551020408163	5.234451273152526E-24	FGF2, ELK1, IGF1R, CCND3, CCND2, MYC, AKT1, EP300, SKP2, PRKCG, COL4A2, CCNE2, TP53, NOTCH1, NOTCH4, PIK3R3, HIF1A, RASGRP1, FOXO1, ABL1, HMOX1, PMAIP1, WNT4, FZD1, STAT5B, TGFB2, JUN, GADD45B, JUP, TGFB3, IGF2, NFKB1, BMP4, CXCL12, CDK6, SP1, CDK4, FGF18, CDK2, BCL2, MDM2, FGFR4, FGFR3, BCL2L1, NFE2L2, FGFR1, RET, ALK, CDKN1A, CXCL8, HSP90AB1, PTEN, LAMC1, BBC3, IKBKB, CASP3, BDKRB2, POLK, JAK1, DCC, MMP2, AXIN1, FOS, F2, TGFBR1, DDB2, TGFBR2, CCNA2, KIT, RARA, BIRC5, PPARG, SOS1, PPARD, PTGER4, CEBPA, HDAC2, ROCK1, LAMA1, HDAC1, CXCR4, LRP6, GNAI2, RXRA, ERBB2, E2F1, MAPK1, STAT6, BID, NQO1, CDKN2B, TXNRD2, STAT1, VEGFB, MTOR, AGT, PML, VEGFA, APC, GSTA1, BAX, CTNNB1	569	531	8662	2.924230238400207	1.722134468867181E-21	1.722134468867181E-21	1.104469218635183E-21
KEGG_PATHWAY	hsa04110:Cell cycle	49	6.666666666666667	1.664211951197057E-20	CDKN1C, CDKN1A, MCM7, BUB1B, CCND3, CCND2, PTTG1, MYC, CHEK2, CHEK1, EP300, FBXO5, SKP2, CDC25C, CDC25A, CDC25B, CCNA2, RBL1, CCNE2, TFDP2, MCM3, MCM4, MCM5, TP53, MCM2, HDAC2, PCNA, HDAC1, AURKB, CCNB2, CCNB1, CDC45, ABL1, E2F1, CDT1, TGFB2, CDKN2B, CDKN2C, GADD45B, TGFB3, PLK1, CDC6, CDK6, CDK4, CDK2, CDK1, MDM2, ATM, MAD2L1	569	157	8662	4.75118937010959	5.475257319438318E-18	2.737628659719159E-18	1.7557436085128952E-18
KEGG_PATHWAY	hsa04218:Cellular senescence	47	6.394557823129252	5.4293453453164E-19	CDKN1A, CXCL8, TRAF3IP2, PTEN, PIK3R3, ITPR2, FOXM1, FOXO3, FOXO1, CCNB2, CCND3, CCNB1, CCND2, CHEK2, MYC, CHEK1, E2F1, AKT1, MAPK1, MYBL2, NBN, TGFB2, CDKN2B, GADD45B, TGFB3, IGFBP3, NFATC3, SIRT1, TGFBR1, CDC25A, MTOR, NFKB1, HIPK2, TGFBR2, HLA-E, CCNA2, RBL1, CDK6, CCNE2, CDK4, CDK2, CDK1, MDM2, ATM, SLC25A5, SQSTM1, TP53	569	156	8662	4.586476499481772	1.7862546186090957E-16	5.954182062030319E-17	3.8186395595392016E-17
KEGG_PATHWAY	hsa04115:p53 signaling pathway	31	4.217687074829931	4.203577051120178E-17	CDKN1A, CD82, PTEN, THBS1, BBC3, CCNB2, CCND3, COP1, CCNB1, CCND2, CHEK2, CASP3, CHEK1, PMAIP1, BID, RRM2, GADD45B, SIVA1, IGFBP3, DDB2, CDK6, CCNE2, CDK4, CDK2, BCL2, CDK1, MDM2, BAX, ATM, TP53, BCL2L1	569	74	8662	6.377285897496794	1.3829768498185385E-14	3.4574421245463463E-15	2.217386894465894E-15
KEGG_PATHWAY	hsa05166:Human T-cell leukemia virus 1 infection	50	6.802721088435375	1.7457254992471545E-14	ATF2, CDKN1A, CRTC2, PTEN, BUB1B, ELK1, IKBKB, CCND3, ZFP36, CCND2, PTTG1, MYC, CHEK2, CHEK1, AKT1, EP300, JAK1, TBP, FOS, TGFBR1, TGFBR2, HLA-E, TNFRSF1A, CCNA2, CCNE2, SLC25A5, TP53, CREB5, PIK3R3, CCNB2, E2F1, MAPK1, FDPS, STAT5B, TGFB2, CDKN2B, JUN, CDKN2C, TGFB3, NFATC3, NFKB1, CDK4, CDK2, BAX, ATM, TCF3, LTBR, MAP3K14, BCL2L1, MAD2L1	569	222	8662	3.4286483319875236	5.734634989096321E-12	1.076168608054776E-12	6.901871620047347E-13
KEGG_PATHWAY	hsa05161:Hepatitis B	42	5.714285714285714	1.9626175222883452E-14	ATF2, CDKN1A, PCNA, CXCL8, PIK3R3, ELK1, IKBKB, IRAK1, MYC, CASP3, E2F1, AKT1, MAPK1, EP300, STAT6, BID, IKBKE, JAK1, PRKCG, STAT5B, TGFB2, JUN, TGFB3, STAT1, NFATC3, FOS, TGFBR1, NFKB1, TGFBR2, DDB2, CCNA2, IRF3, CCNE2, CDK2, IRF7, BCL2, BAX, BIRC5, SOS1, TP53, MYD88, CREB5	569	162	8662	3.9467551910434158	6.465161739299674E-12	1.076168608054776E-12	6.901871620047347E-13
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	37	5.034013605442176	5.3038396265433916E-14	CDKN1A, IRS1, PTEN, PIK3R3, IRS2, FOXO3, FOXO1, IGF1R, INS, IKBKB, CCNB2, STK11, CCNB1, CCND2, AKT1, MAPK1, EP300, SKP2, PCK2, PLK4, PLK3, TGFB2, CDKN2B, GADD45B, TGFB3, PRMT1, INSR, PLK1, SIRT1, TGFBR1, ATG12, TGFBR2, G6PC2, CDK2, MDM2, ATM, SOS1	569	131	8662	4.299682045640537	1.7459589329860137E-11	2.492804624475394E-12	1.5987288017152223E-12
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	64	8.707482993197278	2.477443811366673E-13	RET, ATF2, CDKN1A, CRTC2, HSP90AB1, IRS1, PTEN, BRCA1, LAMC1, FGF2, AREG, IGF1R, GHR, IKBKB, CCND3, STK11, CCND2, MYC, KDR, AKT1, JAK1, SYK, PRLR, COL4A2, CCNE2, COL6A1, DDIT4, KIT, ITGA8, SOS1, TP53, CREB5, LAMA1, PIK3R3, FOXO3, THBS1, INS, VTN, RXRA, ERBB3, ERBB2, MAPK1, MCL1, PCK2, BDNF, INSR, IGF2, VEGFB, MTOR, NFKB1, VEGFA, COL1A1, G6PC2, CDK6, COL1A2, CDK4, FGF18, CDK2, BCL2, MDM2, FGFR4, FGFR3, FGFR1, BCL2L1	569	359	8662	2.7138849861213776	8.149025898518403E-11	1.0188487674245443E-11	6.5342580524796E-12
KEGG_PATHWAY	hsa05225:Hepatocellular carcinoma	40	5.442176870748299	1.7188659488169463E-12	CDKN1A, SMARCB1, PTEN, PIK3R3, ELK1, LRP6, IGF1R, MYC, E2F1, AKT1, HMOX1, MAPK1, POLK, WNT4, FZD1, PRKCG, NQO1, TGFB2, GADD45B, TGFB3, TXNRD2, CSNK1A1, IGF2, AXIN1, SMARCA2, TGFBR1, MTOR, SMARCA4, TGFBR2, DDB2, CDK6, APC, CDK4, GSTA1, BAX, CTNNB1, SOS1, TP53, BCL2L1, NFE2L2	569	168	8662	3.6245710938153826	5.655007573324156E-10	6.28340996845306E-11	4.0297857244486183E-11
KEGG_PATHWAY	hsa05210:Colorectal cancer	28	3.8095238095238098	2.5361696762658564E-12	CDKN1A, PIK3R3, AREG, BBC3, MYC, CASP3, AKT1, MAPK1, PMAIP1, POLK, TGFB2, JUN, GADD45B, TGFB3, DCC, AXIN1, FOS, TGFBR1, MTOR, TGFBR2, DDB2, APC, BCL2, BAX, BIRC5, CTNNB1, SOS1, TP53	569	86	8662	4.956390239914987	8.344076540822698E-10	7.624281837988695E-11	4.88973698424199E-11
