Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	84	12.017167381974248	8.1983876878E-18	RB1, RET, ITGB1, GSK3B, CDKN1B, SLC2A1, LAMC1, ETS1, FGF2, CASP9, RPS6KA5, CASP8, MECOM, FGF9, CCND1, CDH1, PIM1, RAC1, PRKACA, SKP2, NKX3-1, NCOA1, MAP2K1, HSP90AA1, APAF1, DAPK1, ITGA3, NCOA3, DAPK2, ARNT, PRKCA, AXIN2, RHOA, BCR, CCNA1, AR, COL4A2, MSH2, COL4A1, CCNE1, IL23A, AGTR1, ITGA6, RAF1, CTBP2, MAX, CTBP1, EPAS1, GSTP1, NOTCH4, CUL1, MGST1, PDGFB, PDGFA, TGFA, PIK3R1, PLD1, EGFR, RELA, MAPK8, BCL2L11, CTNNA1, STAT4, E2F3, SMAD2, TCF7L2, CREBBP, GSTM1, TGFB1, JUP, LAMB2, GADD45A, FZD7, WNT7B, STAT3, FN1, PTK2, GADD45G, NFKBIA, BCL2, FAS, KRAS, FGFR2, BCL2L1	501	531	8662	2.7350496746619752	2.6890711615984E-15	2.6890711615984E-15	1.5330984976185998E-15
KEGG_PATHWAY	hsa05215:Prostate cancer	27	3.862660944206009	1.9774020206815022E-11	RB1, GSK3B, CDKN1B, GSTP1, PDGFB, PDGFA, TGFA, PIK3R1, RELA, EGFR, CASP9, CCND1, E2F3, NKX3-1, TCF7L2, MAP2K1, CREBBP, HSP90AA1, NFKBIA, AR, CREB1, CCNE1, BCL2, KRAS, RAF1, FGFR2, ATF4	501	97	8662	4.812519291314279	6.485895376329154E-9	3.2429393139176635E-9	1.8488708893372042E-9
KEGG_PATHWAY	hsa05222:Small cell lung cancer	26	3.719599427753934	3.500335832071831E-11	RB1, ITGB1, CDKN1B, MAX, LAMC1, PIK3R1, FHIT, RELA, CASP9, CCND1, E2F3, SKP2, APAF1, LAMB2, ITGA3, GADD45A, FN1, PTK2, GADD45G, NFKBIA, COL4A2, COL4A1, CCNE1, BCL2, ITGA6, BCL2L1	501	92	8662	4.886140761954351	1.1481093298293388E-8	3.827033843065202E-9	2.181876001991441E-9
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	37	5.293276108726753	1.3985692586221142E-9	ITGB1, DDX5, ITGB5, SRC, SDC2, ITPR2, PIK3R1, FGF2, EGFR, ACTB, ACTG1, SLC9A1, CCND1, CTSL, FLNA, DROSHA, RAC1, PRKACA, SMAD2, MAP2K1, TGFB1, FZD7, WNT7B, RPS6, STAT3, FN1, MSN, PRKCA, MAPK14, RHOA, PTK2, TIAM1, FAS, SDC1, KRAS, EZR, RAF1	501	205	8662	3.1205296723625917	4.5873061249590563E-7	1.1468267920701337E-7	6.538311284058383E-8
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	28	4.005722460658083	4.864438862532576E-9	PRKAA1, CDKN1B, PRKAA2, FOXO4, PIK3R1, FOXO3, NLK, EGFR, MAPK8, BCL2L11, CCND1, HOMER3, SKP2, CDKN2D, GABARAPL2, GABARAPL1, MAP2K1, CREBBP, TGFB1, GADD45A, STAT3, MAPK14, FBXO32, SOD2, GADD45G, CCNG2, KRAS, RAF1	501	131	8662	3.6954487970623635	1.595534674381227E-6	3.162101303121663E-7	1.8027833648894844E-7
KEGG_PATHWAY	hsa01200:Carbon metabolism	26	3.719599427753934	5.784331652051823E-9	H6PD, ACSS2, SHMT1, ENO1, HK2, ACAT2, ACAT1, ESD, ME1, PGK1, ME3, G6PD, PDHA1, GOT1, IDH1, GPT2, GOT2, PGD, SDHB, PKM, PC, OGDH, ACO1, ACO2, PFKM, GAPDH	501	115	8662	3.908912609563482	1.8972589967969355E-6	3.162101303121663E-7	1.8027833648894844E-7
KEGG_PATHWAY	hsa01521:EGFR tyrosine kinase inhibitor resistance	21	3.004291845493562	1.263308414847703E-8	GSK3B, MAP2K1, SRC, RPS6, STAT3, PDGFB, PDGFA, TGFA, PRKCA, PIK3R1, FOXO3, FGF2, EGFR, BCL2L11, BCL2, NF1, KRAS, RAF1, EIF4E, FGFR2, BCL2L1	501	79	8662	4.595922079890851	4.143643037357592E-6	5.919502286714951E-7	3.3748381939502923E-7
KEGG_PATHWAY	hsa04919:Thyroid hormone signaling pathway	26	3.719599427753934	1.730458523133795E-8	GSK3B, HDAC3, SRC, NOTCH4, SLC2A1, GATA4, PIK3R1, ACTB, ACTG1, SLC9A1, CASP9, CCND1, SIN3A, PRKACA, NCOA1, MED1, MAP2K1, CREBBP, NCOA3, PRKCA, ATP1B1, KAT2B, RCAN1, KRAS, RAF1, PFKM	501	121	8662	3.715082232229755	5.675887889800002E-6	6.792332693523947E-7	3.872457968563957E-7
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	28	4.005722460658083	1.8637498244425465E-8	PRKAA1, PRKAA2, SRC, GSTP1, SDC2, MGST1, PDGFB, PDGFA, PIK3R1, RELA, ACTB, ACTG1, ICAM1, MAPK8, MAPK7, SUMO1, CTSL, SUMO2, RAC1, MEF2A, HSP90AA1, GSTM1, CYBA, MAPK14, RHOA, PTK2, BCL2, SDC1	501	139	8662	3.4827610965120117	6.113080785352665E-6	6.792332693523947E-7	3.872457968563957E-7
KEGG_PATHWAY	hsa05212:Pancreatic cancer	20	2.8612303290414878	3.660652673517403E-8	RB1, SMAD2, MAP2K1, TGFB1, GADD45A, STAT3, TGFA, PIK3R1, PLD1, EGFR, RELA, GADD45G, CASP9, MAPK8, CCND1, KRAS, E2F3, RAC1, RAF1, BCL2L1	501	76	8662	4.549847673074903	1.2006868893910116E-5	1.2006940769137079E-6	6.845420499477542E-7
