Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	54	19.014084507042252	5.474893269175468E-18	RET, CDKN1A, SLC2A1, ETS1, ELK1, SHH, RPS6KA5, CCND2, HEY1, MECOM, MYC, BDKRB2, PRKCG, MMP2, AXIN2, TGFBR2, AR, PPARG, RAF1, CEBPA, PTGER2, PLD1, DLL1, FOXO1, DLL3, DLL4, ERBB2, E2F1, PMAIP1, CTNNA3, HES1, JAG2, STAT5A, NQO1, TGFB2, JUN, STAT1, IGF2, FN1, VEGFC, NFKB1, AGT, VEGFA, NFKBIA, CDK6, CDK4, FGF19, GSTA2, GSTA1, BCL2, BAX, CTNNB1, FAS, FGFR1	229	531	8662	3.8466434756864776	1.5439199019074821E-15	1.5439199019074821E-15	1.0949786538350936E-15
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	32	11.267605633802818	4.989406821762569E-11	RET, SRF, CACNA1A, EFNA5, ELK1, INS, RPS6KA3, MAPK7, RPS6KA5, MECOM, MYC, ERBB2, KDR, PRKCG, TGFB2, JUN, MEF2C, DUSP1, INSR, IGF2, VEGFC, MAPK14, NFKB1, TGFBR2, VEGFA, FGF19, DDIT3, FAS, RAF1, MAP3K14, MYD88, FGFR1	229	301	8662	4.021297276908123	1.4070132947630043E-8	7.035063618685223E-9	4.989406821762569E-9
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	19	6.690140845070422	8.516306151054558E-11	STAT5A, EGR1, TGFB2, JUN, STAT1, MMP2, FN1, VEGFC, MAPK14, FOXO1, NFKB1, AGT, TGFBR2, VEGFA, COL1A1, COL1A2, CDK4, BCL2, BAX	229	100	8662	7.1868122270742365	2.4015993527193302E-8	8.005327781991284E-9	5.677537434036372E-9
KEGG_PATHWAY	hsa05224:Breast cancer	20	7.042253521126761	8.514192486443323E-9	JAG2, CDKN1A, JUN, BRCA1, AXIN2, DLL1, DLL3, DLL4, CDK6, HEY1, CDK4, MYC, FGF19, ERBB2, E2F1, BAX, CTNNB1, HES1, RAF1, FGFR1	229	147	8662	5.1463030627098	2.400999402185633E-6	6.002505702942543E-7	4.2570962432216615E-7
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	23	8.098591549295776	1.8243004856561467E-8	PRKCG, CDKN1A, TGFB2, MMP2, IGF2, IHH, FN1, MAPK14, THBS1, ELK1, VEGFA, COL1A1, SHH, COL1A2, MYC, ERBB2, KDR, FAS, TIMP3, CTNNB1, PTPN6, RAF1, FGFR1	229	205	8662	4.243817232932154	5.144514191313121E-6	1.0289054739100667E-6	7.297201942624586E-7
KEGG_PATHWAY	hsa04950:Maturity onset diabetes of the young	9	3.169014084507042	2.1153671563710716E-7	NEUROD1, PKLR, HNF4A, SLC2A2, HES1, HNF1B, PAX6, FOXA3, INS	229	26	8662	13.093382599932818	5.9651580879171995E-5	9.520563149012659E-6	6.752172446108268E-6
KEGG_PATHWAY	hsa01522:Endocrine resistance	15	5.28169014084507	2.363260356137894E-7	JAG2, CDKN1A, JUN, MMP2, MAPK14, DLL1, DLL3, DLL4, CDK4, CARM1, ERBB2, E2F1, BCL2, BAX, RAF1	229	98	8662	5.789590945548525	6.66417292637389E-5	9.520563149012659E-6	6.752172446108268E-6
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	13	4.577464788732395	5.802560595006663E-7	STAT5A, CDKN1A, TGFB2, NFKB1, TGFBR2, NFKBIA, CDK6, MECOM, CDK4, MYC, E2F1, BAX, RAF1	229	76	8662	6.470121811077914	1.6361886923565994E-4	1.8181356531020877E-5	1.2894579100014805E-5
KEGG_PATHWAY	hsa05212:Pancreatic cancer	13	4.577464788732395	5.802560595006663E-7	CDKN1A, TGFB2, STAT1, PLD1, NFKB1, TGFBR2, VEGFA, CDK6, CDK4, ERBB2, E2F1, BAX, RAF1	229	76	8662	6.470121811077914	1.6361886923565994E-4	1.8181356531020877E-5	1.2894579100014805E-5
KEGG_PATHWAY	hsa05207:Chemical carcinogenesis - receptor activation	21	7.394366197183098	6.919195312355987E-7	PRKCG, STAT5A, JUN, CHRNA3, CACNA1A, AHR, DLL1, NFKB1, DLL3, VEGFA, DLL4, AR, RPS6KA3, KLF5, MYC, GSTA2, GSTA1, CYP1A1, E2F1, BCL2, RAF1	229	212	8662	3.7468484798549895	1.95102340372455E-4	1.9512130780843883E-5	1.3838390624711975E-5
