gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABL1,-0.9896946549415588,0.3223395845260931,2924.8489,-0.6518342696233472,0.09705420504249969,-6.716187818321848,1.8654032732298272e-11,9.096841234447403e-11
AHR,-3.3273959159851074,0.0008787556904178237,1308.5796,-2.6675745258198096,0.36741785463934873,-7.260329056241038,3.861497741851546e-13,2.1226031283863034e-12
APEX1,1.870561957359314,0.061425562063256,1947.8315,-1.135027735447531,0.128258402955979,-8.849538972016488,8.788157137969697e-19,6.797370521001052e-18
AR,0.21322618424892426,0.8311534856758018,184.98686,2.0872498116948894,0.37241145783479074,5.604687417058032,2.086311330621699e-08,7.954028315171352e-08
ARID3A,-2.3508777618408203,0.018742245275963503,2688.694,-1.362201733122784,0.13472518030565814,-10.11096611659591,4.9394751480744894e-24,4.993870189034817e-23
ARID3B,-0.49243348836898804,0.6224202422540561,2982.581,1.5893262423267598,0.11505776444518012,13.813289785271316,2.1192774404124026e-43,4.539860847353003e-42
ASCL1,0.8319616913795471,0.4054440049751835,296.5819,-3.775365189669568,0.4366174455470906,-8.646849154043668,5.294087824043714e-18,3.914552882800907e-17
ASCL2,-4.393531322479248,1.1230027682169365e-05,1821.348,-2.7507067712922417,0.20035740702558072,-13.728999651812444,6.8066815615144004e-43,1.4393356246172297e-41
ATF1,-0.21650640666484833,0.8285960188362731,555.0025,0.6465083472089869,0.11832661967330439,5.463760808801719,4.6615155421971926e-08,1.7156837955482248e-07
ATF5,-1.4337021112442017,0.15167843637765716,525.6213,-1.0661049470589616,0.11624148589225455,-9.17146695842434,4.666251186420154e-20,3.896715185676627e-19
ATF6,-0.7999765872955322,0.42373721501678796,2248.4626,0.8801340732184474,0.06107582689123693,14.410514241350823,4.443892656371708e-47,1.0732872116638926e-45
BCL11A,-1.240775227546692,0.21470848260990918,175.71541,2.171391610657964,0.5382646639329388,4.034059369218583,5.4821457191981575e-05,0.0001457664973474869
BCL6,-0.7120720744132996,0.47643138154671294,124.05367,-1.4028646340999897,0.21603946167301546,-6.49355734936649,8.383283198995236e-11,3.8954199611552525e-10
BRCA1,-1.7918306589126587,0.07318053806002296,123.43164,-2.5960114511127967,0.3824875298697789,-6.7871793153534465,1.143470546455745e-11,5.6565054040034695e-11
CDX2,-2.2984232902526855,0.02155159421991628,581.0733,1.5525573893657887,0.3526311396932719,4.4027801705664595,1.0687244166840825e-05,3.096807606941271e-05
CEBPA,-2.4881174564361572,0.012853057491986704,449.04724,-3.179913423085505,0.21332317737543743,-14.906553812898757,2.987802719241821e-50,8.073621936583796e-49
CEBPB,-3.673720359802246,0.00023988818082327284,671.9903,-0.5093671348920341,0.1951032193923637,-2.6107572006162942,0.009034200924006358,0.01710884354359231
CEBPD,-0.8844944834709167,0.37644372223154987,174.53407,2.939022169921611,0.23870389332109287,12.312418239312843,7.766083571407044e-35,1.2356348898704792e-33
CLOCK,-1.2484873533248901,0.21187240597430357,864.2094,-0.5552027894382612,0.19406514166263203,-2.860909407437222,0.004224277413912703,0.00852293809105155
CREB3L1,1.0378237962722778,0.2993690684685361,381.87204,-1.8703177552797203,0.23239839889474576,-8.047894323604163,8.423062779150021e-16,5.462978979316212e-15
CREM,-1.0611897706985474,0.2886210011909895,1815.0883,3.5759666452635375,0.21566679621083457,16.58097912192146,9.565750679974694e-62,3.508470491332654e-60
CTBP2,3.6534061431884766,0.0002596791129096388,2199.7732,0.6291302685162226,0.16111519988949485,3.904847394583058,9.428486301227268e-05,0.00024359807029966833
CUX1,-2.3264153003692627,0.020009850941183082,2821.9456,1.0051033682113062,0.12347334600581995,8.140245654020992,3.944766980439635e-16,2.6193890717824907e-15
DBP,-1.1263196468353271,0.2600485255410002,311.56265,-1.8327869577361842,0.08142817766998231,-22.508018847778082,3.46407950950527e-112,3.7648940610292204e-110
DEAF1,-0.2835135757923126,0.7767871460670146,1078.4238,-0.5828741104986188,0.10279894633041727,-5.670039735865967,1.4276440426971547e-08,5.521194818185935e-08
DMAP1,-1.2553901672363281,0.20935699748742856,1530.5854,-0.7197010293648658,0.1701889271252198,-4.228835809249399,2.3490369541995735e-05,6.526525417297724e-05
DMTF1,0.05373235419392586,0.9571491310740133,1044.5431,0.6698196131400943,0.18991297824706052,3.5269817751408032,0.00042032569453545463,0.0009911988019988122
DOT1L,-1.489400863647461,0.13640317134466856,2349.4062,-0.5419797628546481,0.10321718992853628,-5.250867256024841,1.5138474988887295e-07,5.315007097642354e-07
E2F1,-5.529801368713379,3.260279315393801e-08,282.0021,-3.079476096443748,0.30597395587879705,-10.06450397910205,7.928598259332621e-24,7.956049617867989e-23
E2F3,-4.470634460449219,7.856808111931095e-06,417.35498,1.1246167572964636,0.154650076659179,7.2720090516018105,3.541798563508917e-13,1.9534076331054218e-12
E2F7,0.2758975625038147,0.7826306020973602,75.901146,-2.8887151254913985,0.44848484370321806,-6.441054064700984,1.1864659589778376e-10,5.445427083312378e-10
EBF1,-0.3897830545902252,0.6967025896806984,523.75415,1.028165895236712,0.1594550600757575,6.447997917082267,1.133373223993871e-10,5.210696617061712e-10
EGR3,-0.3520624339580536,0.7247964581012472,217.6073,4.55209794992868,0.8107933051368404,5.614375354468926,1.9727357077853538e-08,7.538522879207682e-08
EGR4,-0.8732404112815857,0.382546234572244,220.44202,2.7401915741990246,0.763758821839939,3.5877707672138506,0.0003335173102174998,0.0007983351194048364
ELF3,-0.9646047353744507,0.33475860334747665,382.9609,-2.808192081416928,0.2385434801158216,-11.772244121086217,5.426157499969602e-32,7.771708721613438e-31
ELF4,0.1484285444021225,0.8820065985855436,497.87073,-1.6356476023211908,0.19530712152936344,-8.37474634572032,5.534294128793781e-17,3.8513371712665193e-16
ELK1,0.6369695663452148,0.5241545295276646,546.5221,-0.5231836311599601,0.19052731966235065,-2.7459769658605255,0.0060330999307987,0.011833233821275954
ELK3,-1.3610422611236572,0.17352107826711477,673.95917,4.402435131421158,0.34453147535737133,12.778034653741447,2.1749619474299437e-37,3.742504370775552e-36
ENO1,-0.4600719213485718,0.645471363114129,12729.977,1.3577144874609814,0.1126868586202049,12.048560977611114,1.9736544528548824e-33,2.985935155337566e-32
EPAS1,-2.1226773262023926,0.03379747210851405,2473.84,0.667231695860334,0.17900586684030786,3.727429204628109,0.0001934428738056936,0.00047910172884081046
ERF,-1.594008207321167,0.11095557200337984,527.0777,-0.874461363370744,0.33801666181583895,-2.5870362681919365,0.009680540220626458,0.01820154130070527
ESRRB,-0.09229280799627304,0.9264666527932062,59.886524,1.2169363092053564,0.4128202898040219,2.9478597328224163,0.0031998221689804904,0.0065982940122350205
ESRRG,1.4178085327148438,0.15626774679293037,946.2006,1.9729925469391685,0.18581608630605803,10.617985698447274,2.4580794580938765e-26,2.723603633439699e-25
ETS1,0.9555233120918274,0.33932874467465435,458.01456,1.5105866461038033,0.20827912554925396,7.25270303550693,4.085351650390379e-13,2.2414841404758794e-12
ETS2,1.463605523109436,0.14332302157154886,4837.9478,2.6334518728768854,0.0523526071131444,50.302210684283054,0.0,0.0
ETV1,0.46009570360183716,0.6454542937306036,1655.1215,-2.0553048486707306,0.4130540753378039,-4.975873551156373,6.495404058411589e-07,2.1440055245060673e-06
ETV4,-1.2928712368011475,0.1960757992994408,57.993473,-0.9713770058902035,0.4242483944834365,-2.2896421495547417,0.022042069497879527,0.03844746627898953
ETV5,-1.4744776487350464,0.1403743231805425,649.3073,1.3770957250080624,0.27839601002573067,4.946535422259769,7.554598568552241e-07,2.4742858728511116e-06
FEV,-0.27972841262817383,0.7796897911381385,6589.3574,-4.418814073921737,0.32588947671518553,-13.55924136753764,6.985481396713824e-42,1.4105519197380742e-40
FHL2,-0.1899731308221817,0.8493327935937451,100.64199,0.7460714368164414,0.18919084361727145,3.9434859666133,8.030569268771999e-05,0.00020938409659855163
FOSB,0.2286035716533661,0.8191802099408975,162.79277,4.063961787757884,1.065373793806254,3.814587716897554,0.00013641047858184386,0.00034531311593050763
