,TFs,value
1,HNF4A,-5.728928089141846
2,FGF2,5.0203046798706055
3,HNF1A,-4.901373386383057
4,FOXA2,-4.076076984405518
5,HNF1B,-4.044021129608154
6,ASCL2,-3.7577998638153076
7,ISL1,-3.5962395668029785
8,AHR,-3.5655357837677
9,FOXM1,-3.3832590579986572
10,NKRF,-3.3790841102600098
11,SP3,-3.3729283809661865
12,E2F1,-3.349050521850586
13,PITX1,-3.3371567726135254
14,ETV7,3.293705463409424
15,NEUROD2,-3.2572073936462402
16,NR4A1,-3.152893543243408
17,FOSL2,-3.144110679626465
18,CEBPB,-3.0644800662994385
19,MTF1,-3.0282092094421387
20,GATA6,-2.997680187225342
21,RUNX2,2.9656665325164795
22,GRHL2,-2.9567549228668213
23,SIN3A,2.950566530227661
24,HNF4G,-2.9395968914031982
25,NKX2-2,-2.912853479385376
