,TFs,value
1,GLIS3,6.407770156860352
2,FGF2,4.8646650314331055
3,MAFA,4.680354595184326
4,NKX6-1,4.4636759757995605
5,STAT2,-4.338190078735352
6,JUN,-4.289748191833496
7,HTATIP2,-4.07755184173584
8,ING4,-4.06339168548584
9,E2F1,-4.051688194274902
10,E2F3,-4.011584281921387
11,PREB,3.954174518585205
12,NKRF,-3.9174346923828125
13,TFAP2A,-3.8253517150878906
14,SOX6,-3.585801839828491
15,ASCL2,-3.559286594390869
16,ZNF384,-3.5199015140533447
17,NR3C1,-3.511517286300659
18,FOXC1,-3.5034732818603516
19,RELA,-3.4510514736175537
20,HIVEP1,3.310953140258789
21,EPAS1,-3.2988226413726807
22,ASCL1,-3.289858818054199
23,PML,-3.2278339862823486
24,HNF1B,-3.215099811553955
25,PDX1,3.173820734024048
