,Activity_score,pval
p53,2.3205857276916504,0.020322448034712393
Hypoxia,1.4014304876327515,0.16110590346323317
Androgen,0.32370203733444214,0.7461681047437998
PI3K,0.21058271825313568,0.8332157360514303
MAPK,-0.07858072221279144,0.9373671612797712
VEGF,-0.09081144630908966,0.9276436175685709
EGFR,-0.4500955045223236,0.6526480301754338
WNT,-0.5077316761016846,0.6116489359592876
Estrogen,-0.5135447382926941,0.6075778272407413
NFkB,-0.8796457052230835,0.3790652489349857
TNFa,-0.9085298776626587,0.36361281437289206
TGFb,-1.5059312582015991,0.13210570830754942
Trail,-1.6426560878753662,0.10047490059391029
JAK-STAT,-4.06005334854126,4.930854375451155e-05
