,Activity_score,pval
JAK-STAT,9.095067024230957,0.0
EGFR,3.3251779079437256,0.0008856401480201725
TNFa,3.1200809478759766,0.0018112792441917769
Trail,1.539802074432373,0.12362870046052055
VEGF,1.2580254077911377,0.20840122241387982
p53,1.2170798778533936,0.22359206653118968
Hypoxia,0.3884781002998352,0.6976675096863061
MAPK,-0.21727661788463593,0.8279955932104976
NFkB,-1.6077078580856323,0.1079192262360591
TGFb,-2.007071018218994,0.04475916122716783
WNT,-2.2193851470947266,0.02647472761252878
Estrogen,-2.524693727493286,0.011589656599237053
Androgen,-2.7061338424682617,0.006814492884203549
PI3K,-4.9156670570373535,8.937131770192508e-07
