,TFs,value
1,SP1,3.848315954208374
2,TFDP3,-3.8252439498901367
3,GATA1,3.049851179122925
4,YAP1,2.9595680236816406
5,MYC,2.720224142074585
6,NFAT5,-2.704585075378418
7,SREBF2,2.5204052925109863
8,GTF3A,2.5008389949798584
9,CREB3,-2.4936389923095703
10,ARX,2.457225799560547
11,ZNF202,-2.403404951095581
12,KLF5,2.3520100116729736
13,CTCFL,2.3242266178131104
14,KLF15,2.3077104091644287
15,ASCL1,2.2947070598602295
16,TP73,2.283320665359497
17,NR4A3,2.2733123302459717
18,BHLHA15,2.2553462982177734
19,SMARCA1,2.2206876277923584
20,HLF,2.147351026535034
21,NHLH1,2.1407651901245117
22,SOX2,2.1083927154541016
23,ZBTB4,-2.0859215259552
24,PPARG,2.0674469470977783
25,DLX1,2.0441527366638184
