,TFs,value
1,E2F1,-5.202487945556641
2,HNF4A,-4.63641357421875
3,HNF1A,-4.593434810638428
4,FGF2,4.526025295257568
5,ASCL2,-4.511617660522461
6,CEBPB,-4.004110336303711
7,E2F3,-3.982156753540039
8,IRX1,-3.939326524734497
9,GRHL2,-3.7289040088653564
10,EPAS1,-3.68267560005188
11,PITX3,-3.5932564735412598
12,E2F2,-3.5122077465057373
13,PITX1,-3.498830795288086
14,NR1I3,-3.476865768432617
15,KDM5A,-3.473917245864868
16,MTF1,-3.3989319801330566
17,CTBP2,3.37245512008667
18,TFAP2A,-3.288835287094116
19,AHR,-3.2796127796173096
20,NKX6-1,3.2661924362182617
21,HINFP,-3.2633981704711914
22,ZKSCAN7,-3.2322471141815186
23,NFE2,3.2235970497131348
24,FOSL2,-3.1972787380218506
25,THRB,-3.1093664169311523
