,Activity_score,pval
Hypoxia,1.0862385034561157,0.27739091294279117
Estrogen,0.7216500639915466,0.47052088038811934
Androgen,0.6443583369255066,0.5193529312875202
EGFR,0.3589944839477539,0.7196042601960406
TGFb,0.27357277274131775,0.7844167205514616
NFkB,0.11495278030633926,0.908484085778686
p53,-0.068596750497818,0.9453115183173992
TNFa,-0.17072196304798126,0.8644446911340542
VEGF,-0.22405603528022766,0.822716747966886
MAPK,-1.1011850833892822,0.27083375282039146
Trail,-1.4355310201644897,0.15115665211166007
PI3K,-2.695828676223755,0.007029195463787552
WNT,-3.1675500869750977,0.001540368543903048
JAK-STAT,-5.0730814933776855,3.9609125357387143e-07
