,TFs,value
1,ZNF384,-4.944431304931641
2,TFAP2A,-4.7937822341918945
3,NR3C1,-4.498562812805176
4,JUN,-4.1318769454956055
5,HNF1A,-4.0178914070129395
6,ATOH7,-3.933675527572632
7,SIX1,3.8332343101501465
8,BCL11B,3.7725305557250977
9,IRX1,-3.760673999786377
10,CEBPB,-3.720316171646118
11,GATA4,-3.718247413635254
12,HNF1B,-3.7014358043670654
13,FOXA2,-3.481743812561035
14,ING4,-3.467695951461792
15,PLAG1,-3.393618106842041
16,HNF4G,-3.3779215812683105
17,PML,-3.3674635887145996
18,ASCL2,-3.329817056655884
19,CDX1,-3.319638967514038
20,MAX,-3.3124747276306152
21,NEUROD1,-3.297722339630127
22,EN1,3.191392183303833
23,SMARCA4,-3.1811108589172363
24,CREB5,3.110212564468384
25,FOXC2,-3.0831289291381836
