,Activity_score,pval
MAPK,1.9492017030715942,0.05128951837570406
Hypoxia,1.4633026123046875,0.1434050554643851
PI3K,1.4506334066390991,0.1469023879379352
p53,0.8864477872848511,0.37539015619322846
Androgen,0.5346177816390991,0.5929219234449201
VEGF,0.1410059928894043,0.8878670570868203
WNT,-0.22066277265548706,0.825357952888017
TNFa,-0.6275367140769958,0.5303168063776105
Estrogen,-0.6952356100082397,0.4869181765250672
Trail,-0.7048746943473816,0.4808989072791974
JAK-STAT,-1.2247087955474854,0.22070374078285537
NFkB,-1.2913684844970703,0.19659536624779506
TGFb,-1.4247323274612427,0.15425490760700544
EGFR,-1.6755486726760864,0.09384698358882093
