gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AHR,-3.336369514465332,0.0008508524772228329,1742.569,-1.4447871877819798,0.2712013861270713,-5.327359157025198,9.965099540349453e-08,8.328173216962409e-07
AR,-0.5847490429878235,0.5587252183033686,70.28305,-0.9128680556170915,0.26875957247860083,-3.3965973646939625,0.0006822927937724628,0.0027976044561178587
ASCL1,-2.144953727722168,0.031972468990264485,465.49484,-2.7882116780958914,0.578273259140357,-4.821616137396289,1.4239977441370422e-06,9.795260360377237e-06
ASCL2,-3.179805278778076,0.0014767201054211277,3305.8442,0.7991783223526022,0.1736934319056553,4.601085450293193,4.202949496944818e-06,2.6808242351548658e-05
ATF3,2.1204941272735596,0.033980670781376225,211.25232,-1.1026625602875413,0.4043074572493799,-2.7272872179733523,0.006385742819370387,0.020391390861600824
BHLHE40,-1.8930963277816772,0.05836418340401008,174.85104,-1.4203363826009912,0.3086930958466953,-4.601127792331209,4.202095089197644e-06,2.6808242351548658e-05
BRCA1,-1.3119221925735474,0.18956635394035593,115.364975,-1.0502230998264164,0.1823979708845637,-5.757866135972988,8.518386241813796e-09,8.163904476350768e-08
CDX2,-1.389029622077942,0.164844248715842,482.84772,0.6675955116256402,0.25986647477765684,2.5689943737330436,0.010199411340377355,0.03048506440847878
CEBPA,-0.8561685681343079,0.39191814606249176,558.71045,-1.2445161432981884,0.20138444804375003,-6.179802638125373,6.418178677185907e-10,7.07735565389981e-09
CREM,-0.018450751900672913,0.9852795091911881,575.0676,1.5316857394440202,0.21760052193475235,7.038980080678746,1.9365204851681724e-12,2.8224552192040466e-11
CTBP2,0.7421731352806091,0.45799399934014173,2279.7976,0.7411750565058366,0.11297277797943153,6.560651776136541,5.357309462800131e-11,6.607932399537202e-10
E2F1,-4.672940731048584,2.9948391495880896e-06,278.1409,-1.0410836746717314,0.25201223468587125,-4.131083857771523,3.6105683045237816e-05,0.0001946779857832358
E2F2,-3.414602279663086,0.0006404333647441349,89.5619,-1.4969068943427213,0.4323302901422622,-3.462415029606532,0.0005353509250351596,0.002255801314009883
E2F3,-4.453388690948486,8.513279303605155e-06,376.88947,0.6796357792918146,0.12040619711298912,5.6445249130661,1.6563799641373537e-08,1.5217108257619964e-07
E2F7,0.1368112713098526,0.8911818000796502,81.98699,-1.8235145301905502,0.374263372060196,-4.8722762266387605,1.1031977762186803e-06,7.765626903527202e-06
EBF1,0.12754809856414795,0.8985083071047397,1219.398,1.7580486691165185,0.23507423515644044,7.478695689242796,7.50638639836123e-14,1.278034298185995e-12
EGR1,-0.9455382227897644,0.3443993120724952,135.69258,-0.704546504830395,0.28265812530314793,-2.4925747458162615,0.012682063449369717,0.03681141565013319
ELF3,-1.244186282157898,0.2134503441815173,525.8482,-1.218381061686608,0.19578242877121807,-6.223137946206345,4.873085572816556e-10,5.469530942406083e-09
ELF4,-1.4930921792984009,0.13543397474745406,637.38684,-1.5639925655296647,0.17632346268230717,-8.870019575032996,7.313304599040304e-19,1.915298608967413e-17
ERF,-0.5688543319702148,0.5694634687580423,630.9089,-0.6792645207417037,0.23614234369402873,-2.8765045273787555,0.004021064270856834,0.013569967455453094
ESRRB,-0.9637423753738403,0.33519055313649915,28.122583,-1.0846976485580557,0.34983932832793213,-3.1005594875293228,0.0019315541058110707,0.007102563517743826
ESRRG,-1.4946417808532715,0.13502887448420037,317.93988,-0.7099656964957511,0.20695583768910925,-3.430517855515955,0.0006024303231565044,0.0025027985196408344
ETS1,-0.855312705039978,0.3923916409369914,243.36249,-0.5533235636227115,0.1694348439678541,-3.2657011430759213,0.0010919342455245806,0.004269525166858035
ETS2,0.46001163125038147,0.6455145022488092,2529.3342,0.9639620109136945,0.14330037108923774,6.726863326218496,1.733594316710492e-11,2.266141271020604e-10
ETV1,-1.0139775276184082,0.3106097393900073,2029.7845,-2.8928325661162315,0.2734968134814262,-10.57720757069329,3.801184385761192e-26,1.727134531903843e-24
ETV5,-0.7248215079307556,0.46857278221369303,565.4386,0.5470918554559703,0.19843536571773437,2.7570279797512733,0.0058329360147478795,0.0188173310056612
EZH2,-0.8709316849708557,0.3838053155892831,212.88342,-0.8593639915694309,0.17722317984732291,-4.849049612526813,1.2405439429618489e-06,8.635720064411395e-06
FEV,0.3706872761249542,0.7108756737145083,8069.48,-1.1039609233364065,0.2685038572235552,-4.111527241179457,3.930504884861149e-05,0.00021025413541890224
FHL2,-2.7345457077026367,0.006253934672713123,49.334442,-2.3032349162536683,0.3470820703998497,-6.635995093610765,3.22320563203447e-11,4.0824565037145235e-10
FOXM1,-3.4756922721862793,0.0005109693715218806,208.46463,-1.1041279995138875,0.4127484747940146,-2.6750625791286358,0.007471530228083072,0.023359177925519822
FOXO1,-3.098428726196289,0.0019490733989182612,1046.8552,-0.9998713866949054,0.11725876583938862,-8.527050234047719,1.501266871447295e-17,3.5275094635175146e-16
FOXP2,1.4693970680236816,0.1417459773550548,329.23108,-2.4378699258896823,0.17797825452388916,-13.697571832082774,1.049764991619742e-42,1.1392593452218568e-40
GATA4,-3.3962960243225098,0.000684806739648193,761.7626,-0.5017850608624117,0.1373711954763169,-3.6527676644476794,0.00025942894498887136,0.0011762806237322287
GLI2,-2.2082571983337402,0.02724133425619649,161.07014,4.204117438638639,0.38940443980823314,10.796275051997371,3.58452098331154e-27,1.7556006179628108e-25
GLIS3,2.5165374279022217,0.011861719259208104,3532.3535,1.1798805192935529,0.17813000578742275,6.623704490873941,3.5030674148276735e-11,4.4036476627229544e-10
HDAC7,1.55243718624115,0.12057863110095017,182.06546,0.9995532222202997,0.2258399328498143,4.425936589721767,9.602473074567063e-06,5.761865804687516e-05
HES6,0.4826936423778534,0.6293202828992106,290.785,-0.6545117823922688,0.2394151379188555,-2.7337944796711273,0.006260910999452147,0.020022438504713937
HEY1,0.28603819012641907,0.7748527994764121,77.84501,-1.0339539520395455,0.29523234934269676,-3.502170254518292,0.0004614846237360015,0.0019757612226552054
HHEX,1.1891844272613525,0.23438582046052728,187.66385,-1.4155645435568558,0.4777943684462094,-2.9627066308049663,0.003049470566693278,0.010631214120306933
HIF1A,-2.8086278438568115,0.004981707861149809,6259.2397,-0.610919662541233,0.1868445424195714,-3.2696682205968517,0.0010767369366381102,0.004217755567173693
HLF,-2.4897024631500244,0.012795693657287346,216.24007,-1.7086050786991134,0.2893790399205168,-5.904384364425333,3.5396604200872824e-09,3.569236459693627e-08
HMGA2,-0.21667911112308502,0.828461358452249,97.59767,-2.0902079596203973,0.3697167028498125,-5.653539435759516,1.5717702818561245e-08,1.4501345381731716e-07
HMGB2,-2.3295841217041016,0.019841271523655175,251.15302,-1.1909461495188263,0.22964206216417912,-5.186097609014578,2.147462874324287e-07,1.6978237662045005e-06
HNF1B,-2.5576508045196533,0.01054787403036901,369.27682,-0.6821106148894128,0.12954737224808607,-5.265337328364762,1.3993217763059495e-07,1.1416316384843294e-06
HR,-1.8455777168273926,0.0649731294447285,79.84061,-1.0068759025392462,0.22047413875790584,-4.566866246588939,4.950696796457538e-06,3.1208216119750083e-05
HSF4,1.1241247653961182,0.2609779892319787,294.69437,1.2322606334691046,0.35568736856165173,3.4644486770845657,0.0005313195130316838,0.0022415155412455344
ID2,0.824528694152832,0.40965225649425974,394.2112,-1.1364188620971203,0.1647155796844391,-6.89927974193008,5.22668578585003e-12,7.320757203300623e-11
ID4,-0.08468984067440033,0.9325090968427343,497.98038,-0.868938638955171,0.13248839319196565,-6.5586019878446615,5.431455463232601e-11,6.69391386134508e-10
INSM1,-1.1286592483520508,0.2590595565983225,23125.32,-0.7609085083589129,0.16428264347568095,-4.6317035826828015,3.626691398689541e-06,2.3389756198901978e-05
IRF2,-3.6823859214782715,0.000231867855001954,290.53442,-0.6240545661154316,0.17336889931020427,-3.599576213486986,0.0003187362076916478,0.0014158232311626935
IRF6,-1.7621206045150757,0.07806917451382049,1404.6606,-0.7320401971305254,0.16859829097640514,-4.3419194399365075,1.412433257398604e-05,8.191678465151072e-05
IRF8,-2.7148325443267822,0.006638471518103576,214.87122,-3.8996242335276428,0.3431355805318061,-11.364674649839108,6.269762750086995e-30,3.6237306929142653e-28
ISL1,-2.5123679637908936,0.012002746820805845,2546.958,-2.9368744795603825,0.26435784539432133,-11.109465940682346,1.12832303673707e-28,6.05720747657605e-27
JUNB,-0.5112511515617371,0.6091826882470641,437.0474,-0.633444575019846,0.16907048655228957,-3.7466301063961054,0.00017922606471069237,0.0008406794733087047
JUND,0.49967414140701294,0.6173118314727455,3735.2126,-0.6542219144236014,0.25904552806218784,-2.5255093933393264,0.011553069290725084,0.033939250292227434
KCNIP3,-1.8761804103851318,0.06064980489114358,367.2666,-2.924947443708357,0.5488763332542949,-5.328973516431844,9.876939629396335e-08,8.26365137600908e-07
KLF5,-1.419396162033081,0.15580421494928226,329.39844,-1.2155114374742473,0.20315413286413167,-5.98319817735224,2.187982837892247e-09,2.2699945742506564e-08
LMO2,-3.214618444442749,0.0013089292018498865,877.06287,-2.6652697627415187,0.32472536082174613,-8.207765959507501,2.2534191069561363e-16,4.842283080973407e-15
LMX1B,-0.6165276765823364,0.537555615543079,7692.508,0.687810191229105,0.15620866426889393,4.403150071401447,1.066903094037517e-05,6.326349517907211e-05
MAFA,0.8394769430160522,0.40121502679282106,13793.121,5.747174531985169,0.5152538596103915,11.154064010953528,6.840892208564286e-29,3.725446172064703e-27
MAFB,0.14368338882923126,0.8857524082395585,8738.081,-3.989758221874126,0.4216967049115499,-9.46120321881806,3.044198119442554e-21,9.627196778153234e-20
MECOM,-1.6545722484588623,0.09803210210973073,209.28798,-3.8908373734686994,0.29725940463311396,-13.089030364811778,3.80433310380104e-39,3.436429034181957e-37
MEF2C,-1.814180612564087,0.06966978239827062,93.823944,-1.785921079722448,0.32661609894803556,-5.467951780314991,4.5526568565628177e-08,3.997487117651345e-07
MEIS1,0.584165096282959,0.5591179777627997,809.7911,-0.5293145645730722,0.11439549642274048,-4.627057717526114,3.7089717708877886e-06,2.386938530880644e-05
MEIS2,-1.5641971826553345,0.11779224638803046,862.2039,2.207638553340187,0.24031468119600943,9.186448960808836,4.0602366142390185e-20,1.17496479801718e-18
MITF,0.8126188516616821,0.4164494445280098,288.20575,2.584480404308921,0.16264629838586106,15.890188894293285,7.410393732662403e-57,1.3632413348440532e-54
MLXIP,0.8056275248527527,0.4204703493597505,2745.7278,1.0607864936700886,0.10790013457752211,9.831187864811735,8.263821360106907e-23,2.996628490798382e-21
MLXIPL,-0.30647560954093933,0.7592467777886465,5216.929,-0.7151357989014314,0.2699514698066098,-2.649127265036737,0.008069993608253553,0.024981706049764997
MSC,-0.8733635544776917,0.38247885264240755,222.48091,-2.4889044154920366,0.49884069946742154,-4.989377206289045,6.057426405646373e-07,4.468277620008584e-06
MXI1,1.974279761314392,0.0483681542851353,278.43222,0.604398123233305,0.10538204087102869,5.735304784740265,9.733714689936573e-09,9.234785289163095e-08
MYBL1,-1.2091978788375854,0.22660578490364883,40.48029,-0.9651399485260969,0.16831662605307912,-5.734073758237866,9.804666034449995e-09,9.290413764427022e-08
MYBL2,0.8302678465843201,0.4064005032633914,146.0779,-1.2325872783323562,0.3396300999497044,-3.6292050631404265,0.000284295341501514,0.0012763676269495058
MYCN,-3.4295215606689453,0.000606263957091241,1531.5173,0.7821640851654647,0.284511921176874,2.7491434521621065,0.005975122972422477,0.01919802556741066
NCOR2,-0.7078826427459717,0.4790290768790343,4813.4517,0.9800779306648942,0.19038801389097204,5.147792188357759,2.635702532300005e-07,2.0536969369703294e-06
NEUROD1,-3.3114712238311768,0.0009302477204003929,8770.665,-1.3113026132523897,0.24743751552327412,-5.299530309618906,1.1610096234365818e-07,9.622983609637823e-07
NFE2L1,-0.22676461935043335,0.8206098495852929,6682.5107,0.6955092865016518,0.11531611055306278,6.031328000623232,1.6261774444285943e-09,1.7142478510975083e-08
NFE2L2,-1.61851167678833,0.10557327981287963,1296.6156,-0.6411130132224309,0.14716984314193832,-4.356279788951788,1.322916559436695e-05,7.7349598058537e-05
NFKB1,-2.672104597091675,0.007545814977569469,645.735,-0.8783516738925303,0.17178374586655085,-5.113124466239504,3.168733574989297e-07,2.435066020311439e-06
NFKB2,-0.5485464334487915,0.5833248738115859,443.0926,0.6785566714666308,0.22883091653023588,2.9653190301187813,0.003023691850776495,0.010553538077039203
NKX6-1,1.077695369720459,0.28118695974094166,11026.673,1.0357769056162043,0.22126042263947665,4.681257014969671,2.851212065841424e-06,1.876550349616836e-05
NKX6-3,-2.38529634475708,0.01707763900140477,274.38306,-2.711776514046019,0.6960725194597248,-3.895824699631637,9.786515572304992e-05,0.00048530436360361866
NOTCH1,-1.4198650121688843,0.1556676500069306,104.01132,-0.656982325966261,0.23500696090580495,-2.795586664471575,0.005180560988654748,0.016933643014920233
NPAS2,1.3146634101867676,0.18864303665911678,419.07153,1.9293194074648794,0.2841639058412084,6.789459772357538,1.1255420901676983e-11,1.5186764248819076e-10
