gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABL1,-1.936836838722229,0.05278394167614723,3588.9773,-0.3860836585809091,0.11095058047374856,-3.4797804295603334,0.0005018248754046944,0.0021318018151168165
AHR,-3.336369514465332,0.0008508524772228329,1742.569,-1.4447871877819798,0.2712013861270713,-5.327359157025198,9.965099540349453e-08,8.328173216962409e-07
APEX1,-0.46004578471183777,0.6454899884411677,3182.1624,0.002185322853088503,0.14039257367384514,0.015565800924523008,0.9875807892848519,0.9938584698068912
AR,-0.5847490429878235,0.5587252183033686,70.28305,-0.9128680556170915,0.26875957247860083,-3.3965973646939625,0.0006822927937724628,0.0027976044561178587
ARID1A,-1.689492106437683,0.09114582906976447,3229.0264,-0.04823559129760812,0.20616123283606777,-0.23397023113440238,0.8150080893974851,0.8935530945970683
ARID3A,-2.3794426918029785,0.0173511996459362,3693.8774,-0.14583060728454497,0.24306988113477065,-0.5999534232860749,0.5485372769478798,0.6984120444332065
ARID3B,0.8324262499809265,0.405181569095697,1886.3179,0.39903388932121653,0.09130763730657719,4.370213720254404,1.2412498966109598e-05,7.285702214154212e-05
ARID4A,-0.35058075189590454,0.7259077944412264,377.2057,-0.16683522449818225,0.09913812301787937,-1.6828563969089252,0.09240289426348988,0.18988731491804786
ARNT,-0.8200562000274658,0.4121970277263791,897.3861,-0.14284068855895507,0.0993645296141272,-1.4375420395352694,0.15056403650550326,0.2779998152613852
ARX,-0.05859322100877762,0.9532768864174215,1352.6439,0.03335014774920774,0.17384155520339795,0.1918422077516934,0.8478658079625497,0.913510157354122
ASCL1,-2.144953727722168,0.031972468990264485,465.49484,-2.7882116780958914,0.578273259140357,-4.821616137396289,1.4239977441370422e-06,9.795260360377237e-06
ASCL2,-3.179805278778076,0.0014767201054211277,3305.8442,0.7991783223526022,0.1736934319056553,4.601085450293193,4.202949496944818e-06,2.6808242351548658e-05
ATF1,-0.8286657929420471,0.40730665891200457,474.05798,0.2089368822775724,0.13639539879986037,1.5318469986231402,0.12556019514904448,0.2417454427343122
ATF2,-2.1481542587280273,0.031717378665234344,2015.7766,0.11681567032189696,0.1061104209193871,1.1008878233613144,0.2709454822673665,0.43068593405236155
ATF3,2.1204941272735596,0.033980670781376225,211.25232,-1.1026625602875413,0.4043074572493799,-2.7272872179733523,0.006385742819370387,0.020391390861600824
ATF4,-1.8537064790725708,0.06380067422719932,4156.4023,-0.24447755455594225,0.27691012165790496,-0.8828769172185409,0.37730277641208587,0.5432182057474769
ATF5,-0.5124767422676086,0.6083248973622313,1366.191,0.4033558856576152,0.16064086384702844,2.510917060566321,0.012041798526513785,0.03521041495880218
ATF6,-0.5949376225471497,0.5518940918297104,1984.0519,0.2334727196425122,0.13306330577421654,1.7545988225985578,0.07932795300560093,0.16811775373552823
BACH1,-3.5357303619384766,0.00040786850551537054,1050.7825,-0.13011666286470203,0.08541368167783066,-1.5233702646782659,0.1276660969868545,0.244737968362778
BCL3,1.5469392538070679,0.12189887319951703,178.92288,0.23747749880401367,0.2639409252702784,0.8997373126612863,0.3682600616705518,0.5345653416378247
BCL6,-0.27271753549575806,0.7850740872892482,170.97668,-0.6214966804030098,0.35025861851571227,-1.7743936838348775,0.07599805388902921,0.16247599814569239
BCLAF1,-0.9619288444519043,0.3361007677237855,3581.4688,0.08881301958890274,0.08508806814022729,1.0437776004331962,0.29658829731941183,0.457982850349404
BHLHA15,-1.484691858291626,0.13764636570601574,99.704506,0.18930296067491753,0.7715706157462079,0.24534755058269975,0.8061873365495753,0.8875044583060023
BHLHE40,-1.8930963277816772,0.05836418340401008,174.85104,-1.4203363826009912,0.3086930958466953,-4.601127792331209,4.202095089197644e-06,2.6808242351548658e-05
BRCA1,-1.3119221925735474,0.18956635394035593,115.364975,-1.0502230998264164,0.1823979708845637,-5.757866135972988,8.518386241813796e-09,8.163904476350768e-08
BRD4,-0.06850066035985947,0.9453880023858019,2102.4573,-0.1933193684359951,0.1250062282487668,-1.546477892695736,0.12198919515757002,0.23634819020703104
CDX2,-1.389029622077942,0.164844248715842,482.84772,0.6675955116256402,0.25986647477765684,2.5689943737330436,0.010199411340377355,0.03048506440847878
CEBPA,-0.8561685681343079,0.39191814606249176,558.71045,-1.2445161432981884,0.20138444804375003,-6.179802638125373,6.418178677185907e-10,7.07735565389981e-09
CEBPB,-3.146740674972534,0.0016542252586206887,649.75226,-0.44436504994274784,0.1809657499469916,-2.455520174800541,0.014068085591409497,0.04025361744051826
CEBPD,1.1837302446365356,0.23653851648903126,26.438673,-0.0006560594678080265,0.41630169343200496,-0.001575923130169014,0.9987425957858936,0.9993601366686005
CEBPG,-3.309860944747925,0.0009356118165447893,1651.6373,-0.26039852068949704,0.08843836316022224,-2.944406831882874,0.003235743518485436,0.011222433167763692
CEBPZ,-2.7231452465057373,0.006473798678351505,1090.0383,0.05840457783464621,0.1009914599957916,0.578312045761889,0.5630534632683846,0.7107666521676637
CLOCK,0.11145026981830597,0.9112607816464351,1295.6069,0.06119937379725265,0.24824965887425338,0.24652349604336068,0.8052770183549625,0.8869453725090982
CREB1,-0.388379842042923,0.6977404406881171,1146.4495,0.029445447514937172,0.21638314261410252,0.13608013618440765,0.891757930471641,0.939728989097165
CREB3,-0.4776710271835327,0.6328912902200666,1147.9227,0.3281943235471648,0.12260068383096556,2.6769371368242885,0.007429857373633597,0.023233706152832257
CREB3L1,0.5275518894195557,0.5978181519300434,673.71747,0.06937361307084002,0.25192333405787676,0.275375892948853,0.7830274630204129,0.8734725489656828
CREB5,1.7499877214431763,0.08014076464939114,170.65671,-0.31716397276732583,0.40086162021734495,-0.7912056349903522,0.42882400375404184,0.5931967076230831
CREBBP,-0.8074541091918945,0.41941763580070457,1739.7222,-0.1161740644714697,0.2376758065967632,-0.4887921330106967,0.6249888681762903,0.7615474213602051
CREBZF,-1.7189545631408691,0.0856431632188765,1551.656,-0.10526027250551444,0.298814588396199,-0.35225948328181883,0.7246436708284336,0.8341281781340649
CREM,-0.018450751900672913,0.9852795091911881,575.0676,1.5316857394440202,0.21760052193475235,7.038980080678746,1.9365204851681724e-12,2.8224552192040466e-11
