,TFs,value
1,FOXO3,-3.6063575744628906
2,ETV5,-3.182030439376831
3,STAT5A,-3.1749982833862305
4,MED1,3.1553196907043457
5,ZNF699,-3.0803239345550537
6,CTNNB1,-3.0473053455352783
7,HOXA5,-3.034146308898926
8,FOXC2,-3.0039799213409424
9,NFATC4,-2.899399995803833
10,CIITA,2.8727827072143555
11,REL,2.8583803176879883
12,MEF2C,-2.706772565841675
13,IRF1,2.6759932041168213
14,TWIST1,-2.6621875762939453
15,MYB,-2.64605450630188
16,FOXA2,-2.6414434909820557
17,FEZF2,-2.617335081100464
18,SOX4,-2.5444252490997314
19,FOXQ1,-2.544196128845215
20,TBX15,-2.5391242504119873
21,NFIX,-2.5387697219848633
22,TET1,-2.4922869205474854
23,E2F4,2.4814722537994385
24,HOXA9,-2.4799726009368896
25,MEIS1,-2.466707706451416
