,TFs,value
1,MEOX2,4.424869537353516
2,YAP1,3.4352164268493652
3,MYC,3.3302388191223145
4,DLX1,2.5398035049438477
5,HMGB2,2.5238583087921143
6,SIM2,2.5076022148132324
7,RARA,2.37943959236145
8,RORC,-2.37754487991333
9,ABL1,2.3567087650299072
10,TP73,2.3546090126037598
11,NR5A2,2.344653606414795
12,POU3F2,-2.3143632411956787
13,REL,2.2650392055511475
14,KLF5,2.253016948699951
15,WWTR1,2.2042272090911865
16,HDGF,2.1854097843170166
17,KAT2B,-2.1802687644958496
18,EPAS1,-2.1769726276397705
19,ING4,2.169628620147705
20,NRL,2.13338303565979
21,SRSF2,2.1193788051605225
22,SATB2,-2.1157615184783936
23,HLF,2.0890679359436035
24,FOXA2,2.0847795009613037
25,TFDP3,-2.0696299076080322
