,TFs,value
1,HNF1A,-5.818120956420898
2,PITX1,-4.540742874145508
3,HNF4A,-4.5328168869018555
4,E2F1,-4.31382417678833
5,HNF1B,-3.7395224571228027
6,ASCL2,-3.6915040016174316
7,FOXA2,-3.5113487243652344
8,CEBPB,-3.458258628845215
9,GATA4,-3.3735716342926025
10,ERG,-3.3521385192871094
11,FOXM1,-3.273070812225342
12,GRHL2,-3.1979689598083496
13,MYC,-3.1296005249023438
14,NEUROD2,-3.08695125579834
15,IRX1,-3.0430164337158203
16,ETV7,3.0383615493774414
17,SP3,-3.011807918548584
18,ISL1,-3.0095927715301514
19,CDX1,-2.9980664253234863
20,NKRF,-2.9831817150115967
21,E2F2,-2.9664435386657715
22,THRB,-2.9522347450256348
23,EPAS1,-2.937589406967163
24,SIN3A,2.9344351291656494
25,HNF4G,-2.896904945373535
