,TFs,value
1,TFAP2A,-5.876584529876709
2,NR3C1,-4.9397664070129395
3,E2F1,-4.672940731048584
4,E2F3,-4.453388690948486
5,JUN,-4.397705554962158
6,ING4,-4.377249717712402
7,SMARCA4,-4.2870073318481445
8,HNF4A,-4.101468086242676
9,STAT3,-4.061264514923096
10,FOXA2,-4.024678707122803
11,BCL11B,3.949841022491455
12,SIN3A,3.926922082901001
13,SOX6,-3.8291823863983154
14,IRF2,-3.6823859214782715
15,BACH1,-3.5357303619384766
16,HNF4G,-3.489898204803467
17,FOXM1,-3.4756922721862793
18,GATA6,-3.4527499675750732
19,MYCN,-3.4295215606689453
20,PREB,3.417475461959839
21,E2F2,-3.414602279663086
22,GATA4,-3.3962960243225098
23,MBD2,-3.3840203285217285
24,PML,-3.381516933441162
25,NFYA,-3.371835470199585
