,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
0,CYP1B1,ASCL1,CDKN1A,CDC6,CDKN1A,SLC2A2,IGFBP1,INS,VEGFA,JTB,BAX,SERPINA1,SAMHD1,STAT1,GIP,LMO2,CCNB1,AK1,TP53,GAST,AFP,ALDH2,CRH,SST,MTTP,COL2A1,AMH,TSHR,CDKN1A,APP,CDKN2B
1,CYP1A1,BUB1,DHFR,PCNA,NFKB1,APOB,IGF1R,PAX6,TFRC,HLA-E,TP73,INS,ABCC8,IRF8,INS,BEX2,ODC1,NEUROD1,FN1,BAK1,APOC3,PKLR,CPS1,MCAT,FABP1,PTHLH,AR,THRB,TSC22D1,ERBB2,LDLR
2,AHR,PNP,CCNE1,ECE1,TCF3,APOE,PDK4,,CDKN1A,ABCB1,CDKN1A,HNF4A,SMC3,SAMHD1,SST,MECOM,,INS,UBE2B,BBC3,PPARG,CDK2,NR3C1,PITX1,SYTL4,SPAG6,NPR1,TH,TSC2,CDK4,HCFC1
3,CREBBP,EZH2,CCNA2,BIRC5,,CCNB1,APOC3,,TCIRG1,BIRC5,MDM2,SLC2A2,IRF2,CREBBP,KCNJ11,NRP2,,ABCC8,NFKBIA,PDCD4,APOA1,CDKN1A,AR,CRH,TRIB3,CDH1,THOP1,ANGPTL3,COL1A2,MUC1,CDKN1A
4,MDM2,CCND2,E2F1,CDK1,,AFP,CCND2,,ADM,LMO2,HMGB2,TTR,CDKN1A,IRF1,MEF2C,JAK2,,GAP43,NFKB1,,CDKN1A,NR2F2,SCNN1A,TP53,,CDH2,SRY,NR1H3,CNP,GTPBP1,PIAS2
5,ABCB1,DLL3,TYMS,PPP1R13B,,VTN,EPHA2,,TH,PER2,ERCC3,B3GALT5,IRF1,ABL1,RILP,HHEX,,INSM1,TCIRG1,,,HNF4A,JUN,GDF15,,FN1,TH,CTNNB1,,GLB1,NDRG2
6,ARNT,CHRNA3,MDM2,TP53BP2,,NR0B2,EPHA4,,TP53,VEGFA,,HNF1B,HLA-E,IGFBP1,HNF4A,MT1A,,PAX6,DDIT3,,,MTTP,LTBR,FHL1,,,COL4A2,RGN,,EPHB4,SAE1
7,BAX,KDM6B,RPA2,CDKN1A,,CDH1,BAX,,SLC2A1,DBP,,KRT18,FGFR1,NCOA3,GHRL,LMO1,,BHLHE40,FAS,,,GHR,NFKBIA,FGFR1,,,RGN,DHCR24,,VEGFA,UBE2I
8,POLK,ME3,APAF1,CCNE1,,CDKN1A,FOXO3,,ERBB2,TLE6,,DPP4,USP18,FAS,ISL1,CDH1,,NR0B2,NR4A2,,,INS,SLC14A2,IRF2,,,HNF4A,SIRT1,,,TP53
9,AHRR,LARGE1,MCL1,AHR,,BIRC5,SREBF1,,HIF1A,TLE2,,GSTA1,CDK2,JAK1,NEUROD4,ELK1,,CDKN1A,IER3,,,APOA2,VLDLR,IRF7,,,MAOA,RPS14,,,LRRN3
10,BRCA1,TIMP1,TP73,ARNT,,BRCA2,PPARG,,PIK3R1,,,ABCC2,CREBBP,FGFR1,PITX1,,,SP3,ELF3,,,APOB,PNMT,JUN,,,ACE,SLC25A5,,,ODC1
11,GSTM1,PTPN6,CDKN2C,CHEK1,,XRCC1,TIMP3,,INS,,,MAP3K14,MYH9,ME3,CAPS2,,,NNAT,SAMHD1,,,APOC3,CYP3A5,NKX3-1,,,AGT,APOA2,,,TMEM11
12,SIM1,NUMBL,PPARG,MCM5,,MMP2,NEUROD1,,GLB1,,,SLC23A1,DST,MDM2,PCSK1N,,,SST,HLA-E,,,PEA15,NR1H3,SHROOM3,,,CTNNB1,SQSTM1,,,
13,NFE2L2,SCG3,CDC6,BRCA1,,SERPINA1,SELENOP,,AFP,,,CA2,TAP1,FANCF,GLS2,,,MAP2,PDGFA,,,FGFR3,TP53,,,,SGF29,APOC3,,,
14,CA3,CHRNB4,PCNA,MT1G,,SERPINA10,TXNIP,,PPARG,,,IGFBP1,TRIM21,GAS2,IAPP,,,GHRL,AR,,,NRP1,PDK4,,,,FN1,E2F1,,,
