,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
0,"{-0.24456060083850203, 'CYP1B1'}","{'ASCL1', -2.539041571782474}","{-1.9890888762572914, 'CDKN1A'}","{-0.8945019764920371, 'CDC6'}","{-1.9890888762572914, 'CDKN1A'}","{-0.7165546289922904, 'SLC2A2'}","{-0.7490585644056873, 'IGFBP1'}","{-0.41771849301971403, 'INS'}","{-0.4375142937774131, 'VEGFA'}","{-0.20230722386597155, 'JTB'}","{-0.5503271119384563, 'BAX'}","{'SERPINA1', -3.00576574513048}","{-0.10261402068253313, 'SAMHD1'}","{-0.2354308979550796, 'STAT1'}","{'GIP', -3.2342379302440114}","{-2.5879091788143924, 'LMO2'}","{-0.6832405430543347, 'CCNB1'}","{-0.5699138600188955, 'AK1'}","{-0.003166686251738443, 'TP53'}","{'GAST', -3.6265433791771184}","{'AFP', -5.441601870762319}","{-0.7000767444956627, 'ALDH2'}","{'CRH', -1.3791024388950464}","{'SST', -2.082678886904063}","{-0.19358739448900955, 'MTTP'}","{-0.8302962556723105, 'COL2A1'}","{-0.1387553587012319, 'AMH'}","{-2.4641466858528567, 'TSHR'}","{-1.9890888762572914, 'CDKN1A'}","{-0.10238147498879006, 'APP'}","{'CDKN2B', -2.3210925693200615}"
1,"{-0.8083542835009051, 'CYP1A1'}","{'BUB1', -1.1524892760532783}","{-0.2719617739843072, 'DHFR'}","{-0.452549303073021, 'PCNA'}","{'NFKB1', -0.8380895397503864}","{-0.40245539035527583, 'APOB'}","{-0.17282316995006444, 'IGF1R'}","{-0.3937007774509238, 'PAX6'}","{-0.5490585670542434, 'TFRC'}","{'HLA-E', -1.6590707549132448}","{-1.4119124520487178, 'TP73'}","{-0.41771849301971403, 'INS'}","{-0.2726327641916607, 'ABCC8'}","{'IRF8', -3.8391732368669946}","{-0.41771849301971403, 'INS'}","{-0.030352088798486387, 'BEX2'}","{'ODC1', -0.01766791383421135}","{'NEUROD1', -1.1731149544452644}","{-1.0581636014302755, 'FN1'}","{-0.29918039880787206, 'BAK1'}","{-1.6815465541524048, 'APOC3'}","{'PKLR', -1.37683840932787}","{'CPS1', -1.889828525406128}","{-0.044855403028315186, 'MCAT'}","{'FABP1', -0.14426950408889636}","{-4.618012396235057, 'PTHLH'}","{-0.8090600572758764, 'AR'}","{'THRB', -1.0298144608563367}","{-0.7446096878250528, 'TSC22D1'}","{'ERBB2', -0.5970084091185082}","{-0.15857155763972683, 'LDLR'}"
2,"{'AHR', -1.3580797293062203}","{-0.3517990499124853, 'PNP'}","{-0.4448844653827714, 'CCNE1'}","{-0.2271739338557227, 'ECE1'}","{-0.2527907865410546, 'TCF3'}","{'APOE', -0.29394213597914637}","{-0.0004776261006761848, 'PDK4'}",,"{-1.9890888762572914, 'CDKN1A'}","{-0.5289392983384028, 'ABCB1'}","{-1.9890888762572914, 'CDKN1A'}","{-0.44798845518560493, 'HNF4A'}","{-0.3681956358998267, 'SMC3'}","{-0.10261402068253313, 'SAMHD1'}","{'SST', -2.082678886904063}","{-3.8448429599304728, 'MECOM'}",,"{-0.41771849301971403, 'INS'}","{-0.18845609125336885, 'UBE2B'}","{'BBC3', -2.101825055130841}","{'PPARG', -1.5560857184531618}","{'CDK2', -1.2545364684239344}","{'NR3C1', -1.7828390893694315}","{'PITX1', -0.9451495003617462}","{-0.256846432080421, 'SYTL4'}","{-0.242205801630476, 'SPAG6'}","{'NPR1', -0.5966591376345844}","{'TH', -0.3689607708104399}","{-0.13560735514582234, 'TSC2'}","{-0.032012694337425644, 'CDK4'}","{-0.08507661006163851, 'HCFC1'}"
3,"{-0.09168067542769738, 'CREBBP'}","{'EZH2', -0.8144399776825132}","{-0.8898425785376788, 'CCNA2'}","{-1.1626409574578687, 'BIRC5'}",,"{-0.6832405430543347, 'CCNB1'}","{-1.6815465541524048, 'APOC3'}",,"{-0.41817101199470014, 'TCIRG1'}","{-1.1626409574578687, 'BIRC5'}","{-0.25766667667678567, 'MDM2'}","{-0.7165546289922904, 'SLC2A2'}","{-0.5807796825092005, 'IRF2'}","{-0.09168067542769738, 'CREBBP'}","{-0.3041276942367029, 'KCNJ11'}","{'NRP2', -2.6384682551125205}",,"{-0.2726327641916607, 'ABCC8'}","{-0.03253287293590497, 'NFKBIA'}","{-0.2195726592730743, 'PDCD4'}","{'APOA1', -2.875022123446904}","{-1.9890888762572914, 'CDKN1A'}","{-0.8090600572758764, 'AR'}","{'CRH', -1.3791024388950464}","{-0.07560912333428588, 'TRIB3'}","{'CDH1', -0.13453799437180528}","{-0.09569718186518261, 'THOP1'}","{'ANGPTL3', -2.330547213987779}","{'COL1A2', -3.101032318462354}","{'MUC1', -0.903232927219477}","{-1.9890888762572914, 'CDKN1A'}"
4,"{-0.25766667667678567, 'MDM2'}","{'CCND2', -1.8219869883372761}","{'E2F1', -0.953356894778436}","{'CDK1', -1.4328767212713374}",,"{'AFP', -5.441601870762319}","{'CCND2', -1.8219869883372761}",,"{-0.23046275881960032, 'ADM'}","{-2.5879091788143924, 'LMO2'}","{'HMGB2', -1.122494316422512}","{'TTR', -2.4248914785879667}","{-1.9890888762572914, 'CDKN1A'}","{-0.3466233488540374, 'IRF1'}","{'MEF2C', -1.6764566489760413}","{'JAK2', -0.25582559826913964}",,"{-2.255641542047394, 'GAP43'}","{'NFKB1', -0.8380895397503864}",,"{-1.9890888762572914, 'CDKN1A'}","{-0.8939850941429694, 'NR2F2'}","{-0.14109851328289075, 'SCNN1A'}","{-0.003166686251738443, 'TP53'}",,"{-0.0023601149233526027, 'CDH2'}","{-0.8168591145867315, 'SRY'}","{-0.14426950408889636, 'NR1H3'}","{-0.31359926584455816, 'CNP'}","{-0.018167432803602484, 'GTPBP1'}","{-0.11728335934060846, 'PIAS2'}"
5,"{-0.5289392983384028, 'ABCB1'}","{'DLL3', -1.2138252747178178}","{-0.8280196311336904, 'TYMS'}","{-0.19978784179440828, 'PPP1R13B'}",,"{-0.3998325907396942, 'VTN'}","{-0.9520587737537134, 'EPHA2'}",,"{'TH', -0.3689607708104399}","{-0.6177117843044458, 'PER2'}","{-0.18921211595546927, 'ERCC3'}","{'B3GALT5', -3.1202087111374546}","{-0.3466233488540374, 'IRF1'}","{-0.3733230765316457, 'ABL1'}","{'RILP', -0.09667089480938203}","{'HHEX', -1.117707880971989}",,"{-0.7248531746645235, 'INSM1'}","{-0.41817101199470014, 'TCIRG1'}",,,"{-0.44798845518560493, 'HNF4A'}","{'JUN', -0.08547504278974608}","{'GDF15', -2.6016442419639367}",,"{-1.0581636014302755, 'FN1'}","{'TH', -0.3689607708104399}","{-0.37841220109092877, 'CTNNB1'}",,"{-0.4851031960754792, 'GLB1'}","{-2.407857969082591, 'NDRG2'}"
6,"{-0.13738851816414802, 'ARNT'}","{'CHRNA3', -0.16223071501409517}","{-0.25766667667678567, 'MDM2'}","{-0.19545548358590842, 'TP53BP2'}",,"{-0.7228716506244118, 'NR0B2'}","{'EPHA4', -1.7984072185807543}",,"{-0.003166686251738443, 'TP53'}","{-0.4375142937774131, 'VEGFA'}",,"{-0.6574630048591359, 'HNF1B'}","{'HLA-E', -1.6590707549132448}","{-0.7490585644056873, 'IGFBP1'}","{-0.44798845518560493, 'HNF4A'}","{-0.3121669229477642, 'MT1A'}",,"{-0.3937007774509238, 'PAX6'}","{'DDIT3', -0.26345608419552663}",,,"{-0.19358739448900955, 'MTTP'}","{-0.7054642427991668, 'LTBR'}","{-0.6244770694129079, 'FHL1'}",,,"{'COL4A2', -0.3141758808386468}","{-0.6736299635752551, 'RGN'}",,"{'EPHB4', -1.6461303947679724}","{-0.16465866083794434, 'SAE1'}"
7,"{-0.5503271119384563, 'BAX'}","{'KDM6B', -0.045848054548393455}","{'RPA2', -0.11501461680057161}","{-1.9890888762572914, 'CDKN1A'}",,"{'CDH1', -0.13453799437180528}","{-0.5503271119384563, 'BAX'}",,"{-0.19805727677988444, 'SLC2A1'}","{-0.2473390739802263, 'DBP'}",,"{'KRT18', -1.0257293044710662}","{-2.0791875773230344, 'FGFR1'}","{-0.18503843378156834, 'NCOA3'}","{-0.9308724631732498, 'GHRL'}","{'LMO1', -1.2165293756065396}",,"{'BHLHE40', -1.3055469637855714}","{'FAS', -1.3160491895186652}",,,"{'GHR', -3.040168119773697}","{-0.03253287293590497, 'NFKBIA'}","{-2.0791875773230344, 'FGFR1'}",,,"{-0.6736299635752551, 'RGN'}","{-0.30015151063912143, 'DHCR24'}",,"{-0.4375142937774131, 'VEGFA'}","{-0.0941368046482453, 'UBE2I'}"
8,"{-0.018512534751396838, 'POLK'}","{-0.8333665325691616, 'ME3'}","{-0.15126797717553506, 'APAF1'}","{-0.4448844653827714, 'CCNE1'}",,"{-1.9890888762572914, 'CDKN1A'}","{-0.09600135322184787, 'FOXO3'}",,"{'ERBB2', -0.5970084091185082}","{-0.29311651267007005, 'TLE6'}",,"{-2.003966479748727, 'DPP4'}","{-1.2906031573889147, 'USP18'}","{'FAS', -1.3160491895186652}","{'ISL1', -2.897739379894155}","{'CDH1', -0.13453799437180528}",,"{-0.7228716506244118, 'NR0B2'}","{-0.625989315628523, 'NR4A2'}",,,"{-0.41771849301971403, 'INS'}","{-2.7958078679293386, 'SLC14A2'}","{-0.5807796825092005, 'IRF2'}",,,"{-0.44798845518560493, 'HNF4A'}","{-0.8149010856552162, 'SIRT1'}",,,"{-0.003166686251738443, 'TP53'}"
9,"{-0.14054251969221782, 'AHRR'}","{-0.4034305623343386, 'LARGE1'}","{-0.05401879080673344, 'MCL1'}","{'AHR', -1.3580797293062203}",,"{-1.1626409574578687, 'BIRC5'}","{-0.40334220436485774, 'SREBF1'}",,"{-0.5624230283646925, 'HIF1A'}","{-0.7012312509372977, 'TLE2'}",,"{'GSTA1', -2.231733660434197}","{'CDK2', -1.2545364684239344}","{'JAK1', -0.09072802190537199}","{-0.059477320515876765, 'NEUROD4'}","{-0.1490742441583715, 'ELK1'}",,"{-1.9890888762572914, 'CDKN1A'}","{-0.07724534864773687, 'IER3'}",,,"{'APOA2', -1.3983237593338431}","{-0.5792632965930552, 'VLDLR'}","{-0.3196892612902574, 'IRF7'}",,,"{-0.47540141499475647, 'MAOA'}","{-0.20359757649211585, 'RPS14'}",,,"{-0.5692364639459271, 'LRRN3'}"
