,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
0,CDKN1B,EHD1,RB1,MYCN,CCND1,GCK,BCL2L1,MAFA,BNIP3,F8,HFM1,HNF1A,PRKCA,BCR,GCG,LDB1,GLMN,MAPKAPK2,CCND1,BNIP3,NR1D1,HNF1A,IRS2,SSTR2,UCP2,NFKBIB,NFKBIB,CCND1,PTEN,TAF8,SLC11A1
1,CTSD,HMOX1,CCND1,PCSK6,CDKN1B,CCND1,PDX1,NEUROG3,PSMC6,,,KCNK3,KAT2B,NF1,GAL,PRDM16,IFT20,DLD,BCL2L1,,CLOCK,CCND1,RELA,KRAS,,,HSPA1A,POLR2F,SRPRA,YBX3,MXD4
2,RB1,TUBB3,SERPINE2,CUX1,RELA,GCG,PPARGC1A,SPP1,HMOX1,,,TRIP12,OGA,SLC11A1,HNF1A,ZEB1,MXI1,GCK,STAT5A,,NPAS2,GTF2B,BCL2L1,PIN1,,,WNT4,OPN1SW,,ZDHHC2,CDKN1C
3,ACHE,SCRT1,E2F3,CCND3,,HNF1A,SLC37A4,,HMOX2,,,LHX1,NF1,PTPN13,LHX1,ANGPT2,MYCN,GK,KISS1,,PPARGC1A,LIPC,CDKN1C,TRIB2,,,WDR5,GPHA2,,GSR,MAPK1
4,XPO1,TPH1,MYCN,FGFR2,,PROS1,BMP4,,PFKFB3,,,CFTR,BCL2L1,BCL2L1,CCND1,CD4,MAX,GCG,MMP9,,NRL,DR1,FOS,,,,ETV2,KCND3,,HSPA4,RBBP8
5,HSPB1,TXN,ATM,MCM7,,FOXA2,ANGPT2,,BCR,,,PROM1,IFNGR1,CFLAR,SLC2A10,TGFB1,,FOS,CFTR,,,BMP2,SLC37A4,,,,CSNK1A1,HCN4,,CCND1,SENP1
6,SMARCA4,PKM,CCND3,POLE3,,NFATC3,BCL2L11,,EPAS1,,,MIB1,IFI35,,LDB1,,,MAFA,RELA,,,EFNB2,HSPA4,,,,SERBP1,RB1,,FOS,CEBPD
7,GCG,GADD45A,LRBA,ORC2,,CDKN1B,GCK,,GCK,,,NEUROG3,ERAP2,,SNCA,,,PDX1,CDX2,,,MYL7,NR1I3,,,,CYP4V2,KCNMA1,,F11R,SIN3A
8,TGFB1,TGFB1,CDKN1B,,,BMI1,FOXA2,,GK,,,FXYD2,,,ARX,,,G6PC2,EGFR,,,HEY2,GOT1,,,,PROM1,GTF2B,,NEK1,RHOA
9,LTBP1,ACHE,WNT4,,,MAPK8,CDKN1B,,HSP90AA1,,,PDX1,,,PPARA,,,INSM2,TNFRSF11A,,,PPARA,ACAT1,,,,,POR,,KRAS,EBP
10,ATM,NES,BCL2L11,,,ROCK1,GCG,,HSPA4,,,,,,,,,MGAT5B,BMP2,,,PGR,NCOA1,,,,,TKT,,,BIN1
11,TNFRSF11A,PCSK6,SKP2,,,SOX2,GK,,NR4A1,,,,,,,,,NES,TGFB1,,,OPN1SW,ABCG4,,,,,CREB1,,,RB1
12,SDHB,CHRNA5,POLE3,,,NBN,MAFA,,ATP7A,,,,,,,,,SOX2,MAP3K8,,,ANGPT1,ABCA1,,,,,PIAS3,,,ZBTB17
13,AIP,CHGA,BMI1,,,ALDOC,CDKN1C,,ITGB2,,,,,,,,,KCNAB2,RELB,,,,ADIPOR2,,,,,ACACA,,,CAMK2N1
14,CBR1,GAD1,YY1,,,AMBP,ADIPOR1,,RORA,,,,,,,,,PDYN,NFKBID,,,,CCND1,,,,,,,,PCBP1
