,AHR,ASCL1,E2F1,E2F2,FHL2,FOXM1,FOXO1,GLIS3,HIF1A,HLF,HMGB2,HNF1B,IRF2,IRF8,ISL1,LMO2,MXI1,NEUROD1,NFKB1,NKX6-3,NR1D1,NR2F2,NR3C1,PITX1,PPARGC1B,SOX5,SRY,THRB,TSC22D1,YBX3,ZBTB17
0,"{0.09858157635969346, 'CDKN1B'}","{0.7732073250749754, 'EHD1'}","{0.38789934275180016, 'RB1'}","{0.6590058153869052, 'MYCN'}","{3.0551553698839817, 'CCND1'}","{0.10532438184876572, 'GCK'}","{0.3682244464238877, 'BCL2L1'}","{'MAFA', 5.819076144749278}","{0.505950537862706, 'BNIP3'}","{0.9991117026841932, 'F8'}","{0.3661444564703303, 'HFM1'}","{0.18064262302702874, 'HNF1A'}","{'PRKCA', 1.7163298061692953}","{'BCR', 0.4218105429659266}","{'GCG', 1.039231851520107}","{0.14300543621494693, 'LDB1'}","{0.41700276605673653, 'GLMN'}","{0.17915016891654975, 'MAPKAPK2'}","{3.0551553698839817, 'CCND1'}","{0.505950537862706, 'BNIP3'}","{0.5561050786399678, 'NR1D1'}","{0.18064262302702874, 'HNF1A'}","{0.1579947298388933, 'IRS2'}","{0.5062864706975942, 'SSTR2'}","{0.5286145031274992, 'UCP2'}","{0.08572038069949657, 'NFKBIB'}","{0.08572038069949657, 'NFKBIB'}","{3.0551553698839817, 'CCND1'}","{0.10271820013517428, 'PTEN'}","{0.9983430720710145, 'TAF8'}","{0.05402452574123726, 'SLC11A1'}"
1,"{0.3849345873660214, 'CTSD'}","{0.7840761184896553, 'HMOX1'}","{3.0551553698839817, 'CCND1'}","{1.7902811367845417, 'PCSK6'}","{0.09858157635969346, 'CDKN1B'}","{3.0551553698839817, 'CCND1'}","{0.9318236675362378, 'PDX1'}","{'NEUROG3', 0.6069845610228815}","{0.6539523841545679, 'PSMC6'}",,,"{'KCNK3', 0.7423760257328982}","{'KAT2B', 0.1009190544133959}","{'NF1', 0.059271899331464484}","{0.03315085654600929, 'GAL'}","{1.063272326578065, 'PRDM16'}","{0.04934128113165927, 'IFT20'}","{0.32678964249065584, 'DLD'}","{0.3682244464238877, 'BCL2L1'}",,"{0.05138217821578031, 'CLOCK'}","{3.0551553698839817, 'CCND1'}","{'RELA', 0.35183175359990176}","{0.4631267842859632, 'KRAS'}",,,"{'HSPA1A', 0.34661594683920566}","{0.032027145103429966, 'POLR2F'}","{0.4519752484515871, 'SRPRA'}","{'YBX3', 0.6565103229193692}","{0.06566010721773252, 'MXD4'}"
2,"{0.38789934275180016, 'RB1'}","{0.6054373289103823, 'TUBB3'}","{'SERPINE2', 2.954218434450845}","{'CUX1', 0.41296254462453}","{'RELA', 0.35183175359990176}","{'GCG', 1.039231851520107}","{0.767190746121088, 'PPARGC1A'}","{'SPP1', 4.0220135806717465}","{0.7840761184896553, 'HMOX1'}",,,"{0.016971772565749898, 'TRIP12'}","{'OGA', 0.23432835829220214}","{0.05402452574123726, 'SLC11A1'}","{0.18064262302702874, 'HNF1A'}","{'ZEB1', 0.3243916777081361}","{0.5882218248626896, 'MXI1'}","{0.10532438184876572, 'GCK'}","{0.21162030124243109, 'STAT5A'}",,"{'NPAS2', 1.8538099479399843}","{'GTF2B', 0.3306992032793575}","{0.3682244464238877, 'BCL2L1'}","{'PIN1', 0.03898443331231548}",,,"{'WNT4', 0.9639206747657475}","{'OPN1SW', 0.32103426915530664}",,"{0.6443191226665395, 'ZDHHC2'}","{1.9449574571380674, 'CDKN1C'}"
3,"{'ACHE', 1.0289078461516576}","{0.34079440769583724, 'SCRT1'}","{0.6589551926635315, 'E2F3'}","{0.3208122806043875, 'CCND3'}",,"{0.18064262302702874, 'HNF1A'}","{0.14237072357963368, 'SLC37A4'}",,"{0.2375174874749596, 'HMOX2'}",,,"{'LHX1', 0.620312550678223}","{'NF1', 0.059271899331464484}","{0.856795444321488, 'PTPN13'}","{'LHX1', 0.620312550678223}","{0.3221915009655523, 'ANGPT2'}","{0.6590058153869052, 'MYCN'}","{'GK', 0.3422374721889121}","{0.5966714686727586, 'KISS1'}",,"{0.767190746121088, 'PPARGC1A'}","{0.3113542096595054, 'LIPC'}","{1.9449574571380674, 'CDKN1C'}","{'TRIB2', 0.21064255385063257}",,,"{'WDR5', 0.026647323050362774}","{0.18589213906380653, 'GPHA2'}",,"{0.13339110989867264, 'GSR'}","{0.5306643039461191, 'MAPK1'}"
4,"{0.06253647337934969, 'XPO1'}","{1.3915994238302114, 'TPH1'}","{0.6590058153869052, 'MYCN'}","{2.1480223691145963, 'FGFR2'}",,"{1.1822505056168529, 'PROS1'}","{0.7627537860483102, 'BMP4'}",,"{0.9670398160616019, 'PFKFB3'}",,,"{'CFTR', 2.977105659672667}","{0.3682244464238877, 'BCL2L1'}","{0.3682244464238877, 'BCL2L1'}","{3.0551553698839817, 'CCND1'}","{0.4308875665280171, 'CD4'}","{'MAX', 0.006102971262206753}","{'GCG', 1.039231851520107}","{0.11530514991494487, 'MMP9'}",,"{0.6250002114030846, 'NRL'}","{0.16794087155982343, 'DR1'}","{0.0516351294119538, 'FOS'}",,,,"{0.11392615801601065, 'ETV2'}","{0.9945641477097654, 'KCND3'}",,"{0.4581916200753988, 'HSPA4'}","{0.0006291907018985828, 'RBBP8'}"
5,"{'HSPB1', 0.6761614796616509}","{0.3273816284322269, 'TXN'}","{'ATM', 0.06127202673897154}","{0.046466849044637826, 'MCM7'}",,"{'FOXA2', 0.14376252256531402}","{0.3221915009655523, 'ANGPT2'}",,"{'BCR', 0.4218105429659266}",,,"{'PROM1', 1.290121098356764}","{'IFNGR1', 0.001365730560916776}","{'CFLAR', 0.10587057508657688}","{0.8508788888836615, 'SLC2A10'}","{0.6114520801214537, 'TGFB1'}",,"{0.0516351294119538, 'FOS'}","{'CFTR', 2.977105659672667}",,,"{'BMP2', 0.172530681440643}","{0.14237072357963368, 'SLC37A4'}",,,,"{0.041667893022259074, 'CSNK1A1'}","{'HCN4', 0.002133847489081882}",,"{3.0551553698839817, 'CCND1'}","{0.16368676857896683, 'SENP1'}"
6,"{0.29297739253906013, 'SMARCA4'}","{0.04232945692068811, 'PKM'}","{0.3208122806043875, 'CCND3'}","{0.03277498228429303, 'POLE3'}",,"{0.18446473713759903, 'NFATC3'}","{0.7410466375388322, 'BCL2L11'}",,"{0.059427230189682594, 'EPAS1'}",,,"{0.6251350068919223, 'MIB1'}","{0.13343176635362985, 'IFI35'}",,"{0.14300543621494693, 'LDB1'}",,,"{'MAFA', 5.819076144749278}","{'RELA', 0.35183175359990176}",,,"{0.9230489480561459, 'EFNB2'}","{0.4581916200753988, 'HSPA4'}",,,,"{0.13093104977139045, 'SERBP1'}","{0.38789934275180016, 'RB1'}",,"{0.0516351294119538, 'FOS'}","{'CEBPD', 7.796160367685233e-05}"
7,"{'GCG', 1.039231851520107}","{'GADD45A', 0.7476194823664833}","{0.32120994126332614, 'LRBA'}","{0.16895269293284904, 'ORC2'}",,"{0.09858157635969346, 'CDKN1B'}","{0.10532438184876572, 'GCK'}",,"{0.10532438184876572, 'GCK'}",,,"{'NEUROG3', 0.6069845610228815}","{0.09393164406014655, 'ERAP2'}",,"{0.03769770270991078, 'SNCA'}",,,"{0.9318236675362378, 'PDX1'}","{0.5740399489538723, 'CDX2'}",,,"{0.09313061738079562, 'MYL7'}","{'NR1I3', 0.04037894110295092}",,,,"{0.31681256896349486, 'CYP4V2'}","{0.6426613646126246, 'KCNMA1'}",,"{'F11R', 0.007448178395459043}","{0.2218912661630079, 'SIN3A'}"
8,"{0.6114520801214537, 'TGFB1'}","{0.6114520801214537, 'TGFB1'}","{0.09858157635969346, 'CDKN1B'}",,,"{0.019378701972197817, 'BMI1'}","{'FOXA2', 0.14376252256531402}",,"{'GK', 0.3422374721889121}",,,"{0.020079149840150967, 'FXYD2'}",,,"{'ARX', 0.027520848395303027}",,,"{0.2080349783791831, 'G6PC2'}","{1.1077851651597876, 'EGFR'}",,,"{0.3061399337481966, 'HEY2'}","{0.03940600792257537, 'GOT1'}",,,,"{'PROM1', 1.290121098356764}","{'GTF2B', 0.3306992032793575}",,"{0.017969609902195496, 'NEK1'}","{'RHOA', 0.12210712982135287}"
9,"{0.49451942149895883, 'LTBP1'}","{'ACHE', 1.0289078461516576}","{'WNT4', 0.9639206747657475}",,,"{0.4912776759793724, 'MAPK8'}","{0.09858157635969346, 'CDKN1B'}",,"{0.5380273820034565, 'HSP90AA1'}",,,"{0.9318236675362378, 'PDX1'}",,,"{0.3895443352155197, 'PPARA'}",,,"{2.835642391533248, 'INSM2'}","{0.06625201125907501, 'TNFRSF11A'}",,,"{0.3895443352155197, 'PPARA'}","{0.5580468973116217, 'ACAT1'}",,,,,"{1.137277488864955, 'POR'}",,"{0.4631267842859632, 'KRAS'}","{0.028436232822425644, 'EBP'}"
