gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATF4,-0.20643584430217743,0.8364531465383159,3415.2168,0.10469428466335118,0.032251762033157515,3.718849166672072,0.00020013250682262483,0.023075867241023236
CEBPB,1.0087254047393799,0.31312186457937535,700.82324,0.23494364975157772,0.1140442466560696,3.066986743220675,0.0021622844664076625,0.10312118789637552
CEBPZ,-1.2922470569610596,0.1962905882216493,953.00116,-0.12686671431096863,0.0624820411561485,-2.8882948124948555,0.003873366481207854,0.1520975440594814
HDGF,1.2889454364776611,0.1974360161069035,3184.3083,0.11059181171065387,0.045189993874835445,3.0783468920089834,0.0020815245998694193,0.10021811751855375
HIF1A,1.7969893217086792,0.07235649548184804,8557.71,-0.10656513127573712,0.0359555886144269,-3.524550748205479,0.0004242015509570338,0.03778981607346519
JUND,0.5230143070220947,0.6009716657040545,4101.9487,0.24339006987552878,0.06375028843332942,4.395811444655685,1.1035970320323814e-05,0.0028278271068246682
LMO2,0.7004376649856567,0.48366438338158824,1038.8778,0.20604296569853736,0.10352612118528294,3.0042670749924207,0.002662215172531819,0.11942839459446897
MNX1,1.609893560409546,0.10744116608965572,5706.3555,0.2353921236906148,0.09621874762799713,3.3167487464740084,0.0009107147676081303,0.06092117635707839
NR2F6,0.22817587852478027,0.8195124796253644,2294.7656,0.15186450923525432,0.07080687441163645,3.0132384231994505,0.002584757599261908,0.11755852354084957
PPARG,2.0674469470977783,0.03870837843856248,93.88906,0.47361064041065104,0.1846682506123592,3.4402040273507186,0.0005812758149300309,0.046382689593881504
SP3,1.4516855478286743,0.14660900807682462,1596.0063,-0.10448308745005147,0.034386805114672764,-3.5577380320551906,0.0003740620868790746,0.035344191433986566
SREBF1,1.8093409538269043,0.07041713613983945,4750.0767,0.11373760939938939,0.036864207429107426,3.650921918901419,0.00026130067617793597,0.027624780576629624
TADA2A,0.031137915328145027,0.9751599474067066,344.4235,-0.14426950408889636,0.1915812455959624,3.1359527234378977,0.0017129681482770218,0.0884079901886008
THAP11,-0.3637085258960724,0.7160805652925272,956.66327,0.11343757150038043,0.043094776284544944,3.28020279391934,0.0010373249439615177,0.0653428270950426
USF2,-0.8626120090484619,0.3883639795504853,3775.718,0.15240000965288988,0.047673404297661794,3.7873431260851023,0.0001522667596550855,0.018715194085086036
YBX1,1.3005081415176392,0.1934459252614048,7608.5522,0.16502893265523244,0.0363665179155019,4.988544960272936,6.083575418831358e-07,0.00027870149449058326
ZEB1,-0.7589428424835205,0.4478981239124247,255.01643,-0.14426950408889636,0.19158119474297813,-4.230385659607354,2.3329100216532067e-05,0.004640649172020155
