gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABL1,-0.9769153594970703,0.32862677184486255,3623.078,-0.8162606060225014,0.11413827529547588,-7.190643084904574,6.448685593517549e-13,2.274742825268485e-12
AHR,-2.839651584625244,0.004522342259908219,1201.1057,-3.4507710320625167,0.12059529729375618,-28.670063424429472,9.013970930034453e-181,4.53230899538923e-179
APEX1,2.2730133533477783,0.023039418418327337,2192.1,-1.1174434956068664,0.09186817052427994,-12.217072232520305,2.519975864357475e-34,1.8118276970229688e-33
AR,-0.987167477607727,0.3235764250172599,117.954834,1.1953299134484614,0.2962385513579518,4.248846177512514,2.1487439633564707e-05,4.6394107058884364e-05
ARID3A,-2.3170053958892822,0.020516801976081904,2806.6008,-1.6257373336202356,0.09917346045532426,-16.47219678873561,5.812087096186209e-61,6.973576807985911e-60
ARID3B,-0.4212256669998169,0.6735963236870144,4270.09,1.8937648897244037,0.10644784942695483,17.8695690945324,2.0356063385775172e-71,2.939798817884188e-70
ARID4B,0.6552781462669373,0.5122987119908285,1828.4331,0.5680612289301784,0.04236115333087018,13.432344207802345,3.908402996425041e-41,3.3010635195648352e-40
ASCL1,-0.9530826210975647,0.34056352958567704,407.7609,-4.825301855334061,0.24062054368719674,-20.06953286304768,1.3627938353871806e-89,2.6132962399503665e-88
ASCL2,-3.6915040016174316,0.00022371976298596048,1897.9271,-4.542295568973622,0.25371615625713245,-18.035330036648567,1.0287936500865715e-72,1.5133937118788175e-71
ATF5,-0.648909866809845,0.5164065462890396,736.46094,-1.2622064953307237,0.12480609223835522,-10.211772802286783,1.7562624012524826e-24,9.622321042430694e-24
ATF6,-1.3246387243270874,0.18531113487232015,2543.4714,0.6203701664816779,0.09958408761988118,6.304493207867068,2.891384021941428e-10,8.83697243054837e-10
BCL11A,-2.3038246631622314,0.021246056015366558,158.54518,1.277376256691665,0.36179989776151805,3.8033609811971756,0.00014274611405095338,0.00028549222810190676
BCL6,-0.052428096532821655,0.958188283480324,144.42079,-1.699531721372067,0.26202233133380265,-6.703475419410296,2.0351994412530607e-11,6.629943315232615e-11
BRCA1,-1.8599159717559814,0.06291692627084157,123.56229,-1.948920933095079,0.2757327419913232,-7.2807954887098205,3.3185744539148954e-13,1.1842261652066589e-12
CDX2,-2.4129340648651123,0.015836565238091318,922.57965,1.652495329343355,0.17571319483417422,9.540214688543289,1.4253693122262458e-21,7.081626649044739e-21
CEBPA,-2.5279858112335205,0.011482049613547816,411.44247,-4.549218798136304,0.24021487243748654,-19.064718223350855,4.959419327627625e-81,8.415339748482361e-80
CEBPB,-3.458258628845215,0.0005451841773704313,911.5389,-0.9842870823875944,0.2286101725385732,-4.465907308030017,7.973012672343868e-06,1.795480415159043e-05
CEBPD,-1.7427231073379517,0.08140243384292611,144.10643,2.463074577247482,0.26909746452922445,9.339164143866482,9.709759882115933e-21,4.6922703332603964e-20
CLOCK,-0.2796502113342285,0.7797497263908623,1128.9681,-0.8976511380064179,0.13685237797778882,-6.648829069729285,2.954338453011169e-11,9.564066387288956e-11
CREB3L1,-0.4161739647388458,0.6772886486389567,455.75558,-2.416256397404492,0.1702123863845721,-14.325220417022537,1.5224429564052526e-46,1.429631942947943e-45
CREB5,-0.038035910576581955,0.9696595551207288,154.6064,-1.9236855332492804,0.3223153674752917,-6.231683453161746,4.614491857827742e-10,1.3964225159134917e-09
CREM,-1.1507593393325806,0.24984955433009326,1684.9181,3.1550917581309346,0.1796827459436062,17.667242523423663,7.49731706451299e-70,1.0553807560663697e-68
CTBP2,2.4141271114349365,0.01578482358458822,3255.9805,1.147348311551295,0.13408192194349833,8.665389334085193,4.499726043605156e-18,1.958566338724954e-17
CUX1,-1.495339274406433,0.1348469040663053,3485.2434,1.001748600032366,0.08479834394640373,11.892864114658643,1.2890884264587793e-32,8.889979542835453e-32
DACH1,-0.8175435662269592,0.4136308153982875,1965.7631,-0.6407675384002447,0.06073522815564996,-10.580670545560672,3.663270607373529e-26,2.1272155392527477e-25
DBP,-1.7679548263549805,0.07708872936580041,384.73203,-1.399389519287397,0.30294400134322585,-4.859983571512646,1.1739549435227314e-06,2.8370420544801067e-06
DMTF1,-0.47791680693626404,0.6327163653485277,1308.4839,1.0845233659872078,0.1546210581463059,7.136125354267916,9.599846998248463e-13,3.3532551062190385e-12
DNMT3B,-0.9518166780471802,0.34120525979843563,78.569565,-0.6098638252194423,0.3083759983877047,-2.130971490210496,0.03309149098658869,0.04904835605761356
DOT1L,-0.18076010048389435,0.8565583182214802,2509.4868,-0.7678325536945405,0.06118077042623376,-12.584210137812297,2.5790956536119308e-36,1.9338715240100633e-35
E2F1,-4.31382417678833,1.6147817398636356e-05,298.29837,-4.19757713001423,0.2518674120558027,-16.80895893197355,2.0982397497725828e-63,2.628744699840084e-62
E2F3,-2.777219772338867,0.005489397457192664,553.629,1.3128374928076183,0.14959434913504174,8.88565296840871,6.354642650732401e-19,2.872390186744165e-18
EBF1,-1.1328431367874146,0.25729819410806126,755.169,1.0557438517590096,0.16615573859035124,6.4726878686916,9.627470216798669e-11,3.029288138119531e-10
ELF3,-1.508118748664856,0.13154514483474883,425.88147,-3.942124030206371,0.27388015321907955,-14.515048960247652,9.728820254698448e-48,9.33174767487313e-47
ELF4,1.7942430973052979,0.07279445545694475,721.1451,-0.9141800690651019,0.17645438444988068,-5.32179241377436,1.0274978338593126e-07,2.700122781723633e-07
ELK3,-1.8192869424819946,0.06888754082211712,456.35367,3.4232354582238,0.1898950077665565,18.12763730492359,1.9286982844575817e-73,2.8967082925609676e-72
ELK4,-0.0819959044456482,0.934651061530656,348.03806,-0.5367396604929761,0.1856248257718361,-2.9687819258807395,0.002989826962950454,0.00514998379479802
EPAS1,-2.937589406967163,0.0033127665378250106,3159.9607,0.7135460265315874,0.32075188807206634,2.391706582099502,0.016770243325202813,0.02598411193971958
ERF,-1.1353645324707031,0.2562407088696111,601.81287,-0.8538855768015228,0.3910240370730585,-2.429792214369028,0.0151074811294996,0.02359994506451548
ESRRB,0.0789310559630394,0.9370885114237198,95.200294,1.2168022355579404,0.13787301029514115,8.921176066447186,4.6136246956667305e-19,2.0986757541498827e-18
ESRRG,1.541667103767395,0.12317555101915535,936.71564,2.0325799910277427,0.14719963332883496,13.932827475303226,4.001933525615417e-44,3.560063232195395e-43
ETS2,1.4549449682235718,0.14570536989549018,6220.881,2.583759423214475,0.06708710671295327,38.55508066555396,0.0,0.0
ETV1,0.6850572824478149,0.493318333621947,1589.4214,-3.112454205838998,0.23382318929341783,-13.453930727005998,2.919317446538665e-41,2.471228518652156e-40
ETV4,-1.6285903453826904,0.10342071659959229,83.32819,-2.233133846026846,0.3216692010271674,-7.156105561308394,8.300123838159088e-13,2.9053332196247667e-12
ETV5,-0.9697659015655518,0.33217878980475957,745.1011,1.1442313413376184,0.10822013516115749,10.64994124441121,1.7447514695392204e-26,1.0186638288564133e-25
FEV,-2.737678050994873,0.006194736958504445,8190.881,-6.719230283928327,0.15479429047654522,-43.29222720682027,0.0,0.0
FOS,0.6840896010398865,0.49392912935164957,563.3114,-1.9228295603541883,0.8891639838001063,-2.884066143670161,0.00392576287438964,0.006662142347169415
FOSL2,-2.6030304431915283,0.009249445962176025,486.4756,1.047412460862176,0.31306391614280554,3.5656383464038552,0.0003629716245761238,0.0006944407487754448
FOXA1,-1.5505319833755493,0.12103492665244348,1447.0648,-0.7349134397911521,0.04395517183272889,-16.774077385832925,3.7767949221120427e-63,4.708153802573172e-62
FOXJ1,-1.258650302886963,0.20817620850623866,892.4423,-2.263268982252259,0.2463843191138598,-9.37512757676868,6.90921622432717e-21,3.351828225767495e-20
FOXO1,-1.0265847444534302,0.3046325527721364,974.1294,-1.6634731358468937,0.1462378742616462,-11.484145574908755,1.5849462619512563e-30,1.0315187057218696e-29
FOXO4,1.0498578548431396,0.29380034214932577,2601.2239,3.2741621581714178,0.09828458980345368,33.39298469754441,1.7332828440072004e-244,1.579283289503288e-242
FOXP1,-0.30301180481910706,0.761885056711309,1108.5024,1.0640243263635134,0.13792562405963943,7.817362173514751,5.394173863074399e-15,2.076190728557617e-14
FOXP2,1.4264520406723022,0.15375866086561926,806.22406,0.5772341143919023,0.13686216231218462,4.279810676336013,1.870523623913257e-05,4.061446008363938e-05
GABPA,-0.5580092072486877,0.5768464038791123,813.40875,0.8191508075849744,0.05787120487658812,14.19631192599042,9.656224690044439e-46,8.873574693773111e-45
GATA6,-2.728513717651367,0.006369435438370751,457.06155,-2.3221081815028572,0.21088850231274875,-11.162116832871288,6.24857538149502e-29,3.90282851206465e-28
