gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABL1,-0.976915359,0.328626772,3623.078,-0.816260606,0.114138275,-7.190643085,6.45E-13,2.27E-12
AHR,-2.839651585,0.004522342,1201.1057,-3.450771032,0.120595297,-28.67006342,9.01E-181,4.53E-179
APEX1,2.273013353,0.023039418,2192.1,-1.117443496,0.091868171,-12.21707223,2.52E-34,1.81E-33
AR,-0.987167478,0.323576425,117.954834,1.195329913,0.296238551,4.248846178,2.15E-05,4.64E-05
ARID3A,-2.317005396,0.020516802,2806.6008,-1.625737334,0.09917346,-16.47219679,5.81E-61,6.97E-60
ARID3B,-0.421225667,0.673596324,4270.09,1.89376489,0.106447849,17.86956909,2.04E-71,2.94E-70
ARID4B,0.655278146,0.512298712,1828.4331,0.568061229,0.042361153,13.43234421,3.91E-41,3.30E-40
ASCL1,-0.953082621,0.34056353,407.7609,-4.825301855,0.240620544,-20.06953286,1.36E-89,2.61E-88
ASCL2,-3.691504002,0.00022372,1897.9271,-4.542295569,0.253716156,-18.03533004,1.03E-72,1.51E-71
ATF5,-0.648909867,0.516406546,736.46094,-1.262206495,0.124806092,-10.2117728,1.76E-24,9.62E-24
ATF6,-1.324638724,0.185311135,2543.4714,0.620370166,0.099584088,6.304493208,2.89E-10,8.84E-10
BCL11A,-2.303824663,0.021246056,158.54518,1.277376257,0.361799898,3.803360981,0.000142746,0.000285492
BCL6,-0.052428097,0.958188283,144.42079,-1.699531721,0.262022331,-6.703475419,2.04E-11,6.63E-11
BRCA1,-1.859915972,0.062916926,123.56229,-1.948920933,0.275732742,-7.280795489,3.32E-13,1.18E-12
CDX2,-2.412934065,0.015836565,922.57965,1.652495329,0.175713195,9.540214689,1.43E-21,7.08E-21
CEBPA,-2.527985811,0.01148205,411.44247,-4.549218798,0.240214872,-19.06471822,4.96E-81,8.42E-80
CEBPB,-3.458258629,0.000545184,911.5389,-0.984287082,0.228610173,-4.465907308,7.97E-06,1.80E-05
CEBPD,-1.742723107,0.081402434,144.10643,2.463074577,0.269097465,9.339164144,9.71E-21,4.69E-20
CLOCK,-0.279650211,0.779749726,1128.9681,-0.897651138,0.136852378,-6.64882907,2.95E-11,9.56E-11
CREB3L1,-0.416173965,0.677288649,455.75558,-2.416256397,0.170212386,-14.32522042,1.52E-46,1.43E-45
CREB5,-0.038035911,0.969659555,154.6064,-1.923685533,0.322315367,-6.231683453,4.61E-10,1.40E-09
CREM,-1.150759339,0.249849554,1684.9181,3.155091758,0.179682746,17.66724252,7.50E-70,1.06E-68
CTBP2,2.414127111,0.015784824,3255.9805,1.147348312,0.134081922,8.665389334,4.50E-18,1.96E-17
CUX1,-1.495339274,0.134846904,3485.2434,1.0017486,0.084798344,11.89286411,1.29E-32,8.89E-32
DACH1,-0.817543566,0.413630815,1965.7631,-0.640767538,0.060735228,-10.58067055,3.66E-26,2.13E-25
DBP,-1.767954826,0.077088729,384.73203,-1.399389519,0.302944001,-4.859983572,1.17E-06,2.84E-06
DMTF1,-0.477916807,0.632716365,1308.4839,1.084523366,0.154621058,7.136125354,9.60E-13,3.35E-12
DNMT3B,-0.951816678,0.34120526,78.569565,-0.609863825,0.308375998,-2.13097149,0.033091491,0.049048356
DOT1L,-0.1807601,0.856558318,2509.4868,-0.767832554,0.06118077,-12.58421014,2.58E-36,1.93E-35
E2F1,-4.313824177,1.61E-05,298.29837,-4.19757713,0.251867412,-16.80895893,2.10E-63,2.63E-62
E2F3,-2.777219772,0.005489397,553.629,1.312837493,0.149594349,8.885652968,6.35E-19,2.87E-18
EBF1,-1.132843137,0.257298194,755.169,1.055743852,0.166155739,6.472687869,9.63E-11,3.03E-10
ELF3,-1.508118749,0.131545145,425.88147,-3.94212403,0.273880153,-14.51504896,9.73E-48,9.33E-47
ELF4,1.794243097,0.072794455,721.1451,-0.914180069,0.176454384,-5.321792414,1.03E-07,2.70E-07
ELK3,-1.819286942,0.068887541,456.35367,3.423235458,0.189895008,18.1276373,1.93E-73,2.90E-72
ELK4,-0.081995904,0.934651062,348.03806,-0.53673966,0.185624826,-2.968781926,0.002989827,0.005149984
EPAS1,-2.937589407,0.003312767,3159.9607,0.713546027,0.320751888,2.391706582,0.016770243,0.025984112
ERF,-1.135364532,0.256240709,601.81287,-0.853885577,0.391024037,-2.429792214,0.015107481,0.023599945
ESRRB,0.078931056,0.937088511,95.200294,1.216802236,0.13787301,8.921176066,4.61E-19,2.10E-18
ESRRG,1.541667104,0.123175551,936.71564,2.032579991,0.147199633,13.93282748,4.00E-44,3.56E-43
ETS2,1.454944968,0.14570537,6220.881,2.583759423,0.067087107,38.55508067,0,0
ETV1,0.685057282,0.493318334,1589.4214,-3.112454206,0.233823189,-13.45393073,2.92E-41,2.47E-40
ETV4,-1.628590345,0.103420717,83.32819,-2.233133846,0.321669201,-7.156105561,8.30E-13,2.91E-12
ETV5,-0.969765902,0.33217879,745.1011,1.144231341,0.108220135,10.64994124,1.74E-26,1.02E-25
FEV,-2.737678051,0.006194737,8190.881,-6.719230284,0.15479429,-43.29222721,0,0
