gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ARID5B,-2.240450859,0.025075893,350.13617,-0.907566608,0.250770323,-4.179930715,2.92E-05,0.000314565
ASCL1,-2.827205181,0.004701688,549.89874,-1.329544181,0.256346348,-5.648846957,1.62E-08,3.22E-07
ATF3,0.898461401,0.368953686,197.56166,-1.119759572,0.379830101,-3.694287055,0.000220505,0.001869728
CDX2,-0.811077595,0.417333668,423.92288,0.528793075,0.19681496,3.173632166,0.001505443,0.009687393
CEBPA,-1.246057391,0.212762315,614.66,-0.603596171,0.12584353,-5.118753695,3.08E-07,4.94E-06
CREM,-0.105600305,0.915900861,409.13492,1.090190195,0.115794657,9.630129431,5.97E-22,5.56E-20
CUX1,-0.798463643,0.424613818,1989.3868,0.540434037,0.177271323,3.493487821,0.000476755,0.003653614
E2F3,-1.606464148,0.108192504,333.14673,0.635366017,0.080780878,8.06166875,7.53E-16,3.73E-14
EBF1,0.429017276,0.667916664,812.5753,1.182885075,0.183023417,6.781107453,1.19E-11,3.48E-10
ELF3,-0.938261569,0.348124745,573.6543,-0.552328678,0.211595556,-3.163486433,0.001558916,0.009968893
ELF4,-0.802726388,0.422145307,732.2911,-0.68130577,0.129030545,-5.607502148,2.05E-08,3.99E-07
ETS2,0.602297425,0.546985058,2065.0874,0.721671264,0.15702126,4.963948763,6.91E-07,1.03E-05
ETV1,-1.040974617,0.2979037,2517.8582,-1.11472903,0.207206762,-5.757340925,8.54E-09,1.77E-07
FEV,0.745284319,0.456111253,8509.329,-0.64605767,0.16579392,-4.252426668,2.11E-05,0.000235571
FHL2,-2.64050746,0.008286562,57.632565,-0.994165847,0.333639436,-3.667219246,0.000245203,0.002045306
FOXP2,1.067644238,0.285697786,404.3628,-0.94750842,0.151603073,-6.584975694,4.55E-11,1.23E-09
GLIS3,2.741034508,0.006131683,2835.8035,0.911645463,0.1969432,5.05853926,4.22E-07,6.61E-06
HESX1,1.607749343,0.107910623,17.995062,-0.653683841,0.336338297,-2.710610882,0.006715939,0.033133546
HEYL,2.253372431,0.024249708,25.011152,0.573850126,0.312500392,2.59041364,0.009586067,0.044016311
HNF1B,-3.701435804,0.000215132,365.2155,-0.512508622,0.092688403,-5.766698279,8.08E-09,1.68E-07
HR,-0.670278251,0.502690497,82.03247,-0.546738509,0.274598621,-2.683872095,0.007277494,0.035482689
ID2,0.878602147,0.379630763,422.89777,-0.601282545,0.145066968,-4.516803893,6.28E-06,7.81E-05
ID4,-0.495391726,0.620330715,495.57236,-0.693670187,0.091204003,-7.834577547,4.70E-15,2.19E-13
IRF8,-0.544247687,0.586278934,254.60579,-1.812667434,0.32972894,-5.964279606,2.46E-09,5.57E-08
IRX1,-3.760674,0.000170084,294.59445,-0.943359321,0.307980457,-3.729437079,0.000191908,0.001657417
ISL1,-1.120020866,0.262722368,3268.9666,-0.968874953,0.148237066,-6.851351953,7.32E-12,2.24E-10
KCNIP3,-0.770907819,0.44077342,460.42816,-0.966877743,0.315887436,-3.741204263,0.000183141,0.001592432
LMO2,-1.522745252,0.127843021,1058.8326,-1.115248202,0.25252808,-4.928981701,8.27E-07,1.22E-05
MAFA,2.522323847,0.011668243,8003.367,5.225457741,0.577766066,9.13399218,6.60E-20,5.20E-18
MAFB,1.016123533,0.309586555,11012.172,-1.449137956,0.182169006,-8.240369792,1.72E-16,9.53E-15
MECOM,-0.906652689,0.3646047,257.74655,-1.547298474,0.238749783,-6.861117889,6.83E-12,2.10E-10
MEF2C,-2.438506126,0.01475935,96.466286,-1.318728563,0.420574688,-3.871918779,0.000107982,0.001003025
MEIS2,-1.644496202,0.100094195,424.87448,1.034453921,0.217649604,5.178948287,2.23E-07,3.65E-06
MITF,0.296422005,0.766911827,176.59761,1.98531402,0.221973586,9.183749724,4.16E-20,3.35E-18
MLXIP,1.423931122,0.154486708,2351.438,0.984663242,0.100186151,10.03130042,1.11E-23,1.22E-21
MLXIPL,-0.116997555,0.906863519,4812.6494,-0.728095213,0.293087071,-3.212833503,0.001314325,0.008619928
MYC,1.234191298,0.217150495,99.12011,-1.590131573,0.852120667,-3.11728213,0.001825268,0.011360261
MYCN,-1.721161604,0.085241623,1550.6846,1.062026583,0.146344714,7.547164133,4.45E-14,1.78E-12
NCOR2,0.638220668,0.523339552,3860.4236,0.70992135,0.14451873,5.19417961,2.06E-07,3.39E-06
NEUROD1,-3.29772234,0.000976937,9564.745,-0.737122201,0.094685367,-7.888872064,3.05E-15,1.44E-13
NFE2L2,-1.400966406,0.161244304,1251.5072,-0.510849617,0.178569244,-3.318060908,0.000906447,0.006296797
NKX6-1,2.700246096,0.006936405,9663.951,0.886378617,0.271446422,3.872396771,0.00010777,0.001002271
NR0B2,-0.577229321,0.563793005,94.86202,-0.576498624,0.297740744,-2.685175835,0.007249166,0.035400707
NR1H4,-2.209173203,0.027177286,88.1121,-0.802903908,0.320165794,-3.243117256,0.001182295,0.007885218
NR2F2,-1.894248247,0.058210819,254.67653,-0.566404313,0.18046775,-3.606695287,0.000310121,0.002507889
NR3C1,-4.498562813,6.89E-06,4998.454,-0.785605845,0.195043967,-4.496700254,6.90E-06,8.46E-05
NR4A2,-0.752567232,0.451721538,194.0323,-0.704517603,0.146500832,-5.168123348,2.36E-07,3.85E-06
NRF1,0.391854972,0.695170807,263.45087,-0.552242725,0.174876745,-3.609535005,0.000306746,0.002485826
NRG1,-1.056176066,0.29090438,200.44717,-1.322602256,0.168485397,-8.144274635,3.82E-16,2.01E-14
PAX4,-1.368401647,0.171206387,2846.1914,-1.339217495,0.229662579,-6.288106835,3.21E-10,8.05E-09
PDX1,1.174294829,0.240295144,5331.294,0.846786912,0.113553537,7.723686232,1.13E-14,4.95E-13
PGR,2.364317894,0.018075662,612.0212,3.100968666,0.271572649,11.60908748,3.71E-31,7.80E-29
PHOX2A,0.140577033,0.888205935,58.246696,-1.076009873,0.368719759,-3.643510743,0.000268944,0.002219261
PPARD,-0.911639929,0.361972591,687.73083,0.646564582,0.124451372,5.497578071,3.85E-08,7.13E-07
PPARG,-0.339157552,0.734495678,86.70998,-0.577121284,0.280252413,-2.762712413,0.005732325,0.02909311
